ensembl_gene_id,ymin,ymax,range,y0,y1,y120,t_max,type,tpm_level,cluster,subcluster,cluster_name
ENSDARG00000043722,0.0,265.0586,265.0586,0.0571078,0.0,265.0586,120.0,maternal,medium,4.0,4.0,SU post-ZGA
ENSDARG00000043727,10.77346,65.9269,55.15344,18.30062,20.97958,10.77346,2.25,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000043728,12.87546,178.2132,165.33774,164.5676,178.2132,12.87546,0.75,maternal,medium,0.0,0.0,SD
ENSDARG00000043729,0.0,222.3148,222.3148,0.0,0.0,198.25276,96.0,zygotic,medium,4.0,4.0,SU post-ZGA
ENSDARG00000043732,17.381449800000002,74.81940879999999,57.43795899999999,17.381449800000002,30.3795264,32.9568532,19.0,maternal,medium,3.0,0.0,SU ZGA
ENSDARG00000043734,3.754208,29.27168,25.517472,8.013592,22.11040000000001,3.893568,2.25,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000043736,0.0,0.0856674,0.0856674,0.0,0.0,0.0,72.0,zygotic,low,,,
ENSDARG00000043740,2.7283160000000004,38.586878,35.858562,25.215054,29.479232000000003,2.7283160000000004,4.3,maternal,medium,0.0,3.0,SD
ENSDARG00000043746,0.0762498,35.728308000000006,35.652058200000006,5.7218064,9.1216714,35.728308000000006,120.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000043757,11.708159999999998,22.247180000000004,10.539020000000006,15.1554,12.52464,22.247180000000004,120.0,maternal,medium,4.0,4.0,SU post-ZGA
ENSDARG00000043767,0.0,1.1991878,1.1991878,0.0,0.0,0.0,4.3,zygotic,low,,,
ENSDARG00000043768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zygotic,low,,,
ENSDARG00000043769,0.0,0.5152542,0.5152542,0.0,0.0,0.0,4.3,zygotic,low,,,
ENSDARG00000043770,0.0,4.580138,4.580138,0.0,0.0111554,3.32577,96.0,maternal,low,4.0,2.0,SU post-ZGA
ENSDARG00000043781,5.251906,22.12854,16.876633999999996,6.31462,5.251906,7.3432226,19.0,maternal,medium,2.0,4.0,TU post-ZGA
ENSDARG00000043792,0.0,0.1884726,0.1884726,0.0,0.0,0.1324369999999999,6.0,zygotic,low,,,
ENSDARG00000043795,52.79915999999999,266.3378,213.53864,52.79915999999999,68.31266000000001,107.802,24.0,maternal,medium,3.0,0.0,SU ZGA
ENSDARG00000043796,0.0,12.427632,12.427632,0.0,0.0,12.427632,120.0,zygotic,medium,4.0,2.0,SU post-ZGA
ENSDARG00000043797,39.67304,343.9416,304.26856,43.6267,48.5678,42.24324,3.0,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000043798,0.0,2.562614,2.562614,0.0,0.0,1.6990911999999998,96.0,zygotic,low,4.0,2.0,SU post-ZGA
ENSDARG00000043799,0.1411783999999999,4.773124,4.6319456,1.110898,2.44998,1.0508208,3.0,maternal,low,1.0,2.0,TU pre-ZGA
ENSDARG00000043802,0.0,6.612184000000001,6.612184000000001,0.0,0.0,1.7897494000000005,72.0,zygotic,low,4.0,2.0,SU post-ZGA
ENSDARG00000043806,0.0830914,78.00942,77.9263286,1.6736418,1.0543452,59.7288,96.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000043814,0.424617,9.822346,9.397729000000002,2.3702060000000005,2.30066,8.821335999999999,96.0,maternal,low,4.0,4.0,SU post-ZGA
ENSDARG00000043816,0.0994644,143.94161,143.8421456,143.94161,98.856426,0.9316197999999998,0.0,maternal,medium,0.0,0.0,SD
ENSDARG00000043818,0.0209118,2.3257906,2.3048788,0.0209118,0.0613253999999999,2.2067038000000005,96.0,maternal,low,4.0,2.0,SU post-ZGA
ENSDARG00000043820,0.0,89.2452596,89.2452596,0.0,0.0,52.3295474,72.0,zygotic,medium,4.0,2.0,SU post-ZGA
ENSDARG00000043821,0.1722628,17.38942,17.217157200000003,8.869736,7.276006,16.99948,96.0,maternal,medium,4.0,0.0,SU post-ZGA
ENSDARG00000043835,0.1227992,38.02072,37.8979208,0.1305404,0.1227992,30.71526,96.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000043842,4.136462,35.781699999999994,31.645237999999992,4.136462,10.215202,15.90822,10.3,maternal,medium,2.0,4.0,TU post-ZGA
ENSDARG00000043843,0.9415976,55.1983,54.2567024,1.1342232,0.9415976,55.1983,120.0,maternal,medium,4.0,3.0,SU post-ZGA
ENSDARG00000043847,0.0,11.110674,11.110674,0.1201864,0.0,4.501262,72.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000043848,18.003539,336.475,318.47146100000003,167.0116,239.6808,219.30308800000003,3.0,maternal,medium,1.0,0.0,TU pre-ZGA
ENSDARG00000043850,0.0,0.243301,0.243301,0.0,0.0,0.243301,120.0,zygotic,low,,,
ENSDARG00000043854,7.698548000000001,41.3177,33.619152,25.6407,22.55798,7.698548000000001,5.25,maternal,medium,2.0,1.0,TU post-ZGA
ENSDARG00000043856,4.350584,79.791348,75.440764,4.433724,4.350584,59.044806,19.0,maternal,medium,3.0,2.0,SU ZGA
ENSDARG00000043857,8.536249799999998,72.39916,63.8629102,8.536249799999998,19.475442,21.659342,10.3,maternal,medium,2.0,4.0,TU post-ZGA
ENSDARG00000043858,0.0650092,8.0439742,7.978964999999999,0.0650092,0.113497,2.489588,36.0,maternal,low,3.0,0.0,SU ZGA
ENSDARG00000043864,0.1450058,41.999106,41.8541002,0.8406144,0.7288049999999999,37.007784,72.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000043865,17.21358,162.279338,145.065758,94.83358,154.950974,17.21358,3.0,maternal,medium,0.0,3.0,SD
ENSDARG00000043873,24.037738,275.782302,251.744564,275.782302,217.658576,25.187276,0.0,maternal,medium,0.0,0.0,SD
ENSDARG00000043877,2.1394892000000003,40.76798,38.6284908,24.835888,36.20871,2.332354,3.0,maternal,medium,0.0,4.0,SD
ENSDARG00000043884,9.470086,76.79956,67.329474,39.4929,39.81984,9.613206,4.3,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000043894,0.0,0.430344,0.430344,0.0,0.0,0.0,4.3,zygotic,low,,,
ENSDARG00000043898,9.622314,153.382,143.75968600000002,153.382,102.61858000000002,9.622314,0.0,maternal,medium,0.0,4.0,SD
ENSDARG00000043899,0.0922542,6.839587999999999,6.747333799999999,0.4313939999999999,0.4705272,3.4393,3.0,maternal,low,1.0,0.0,TU pre-ZGA
ENSDARG00000043901,0.0,0.1442778,0.1442778,0.0,0.0,0.0991742,96.0,zygotic,low,,,
ENSDARG00000043902,0.0,7.291164,7.291164,0.0595153999999999,0.0,7.291164,120.0,maternal,low,4.0,4.0,SU post-ZGA
ENSDARG00000043904,0.0,4.551036000000001,4.551036000000001,0.0,0.1057244,2.982222,96.0,maternal,low,4.0,4.0,SU post-ZGA
ENSDARG00000043905,2.536766,50.735107000000006,48.198341000000006,2.536766,7.877444999999999,12.3795612,4.3,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000043907,0.0,3.560944,3.560944,0.0111292,0.0,3.560944,120.0,maternal,low,4.0,2.0,SU post-ZGA
ENSDARG00000043912,0.0535803999999999,18.827678,18.7740976,2.903446,8.93381,0.324718,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000043918,0.0,0.5057264,0.5057264,0.0,0.0,0.381521,72.0,zygotic,low,,,
ENSDARG00000043923,0.5952232000000001,65.8123252,65.217102,9.149062,4.194542,16.0232806,36.0,maternal,medium,3.0,0.0,SU ZGA
ENSDARG00000043928,4.259442,32.31434,28.054898,10.162572,4.7042660000000005,12.6324,16.0,maternal,medium,3.0,0.0,SU ZGA
ENSDARG00000043932,0.0,39.415122,39.415122,0.1004864,0.2182673999999999,37.12548,96.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000043933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zygotic,low,,,
ENSDARG00000043934,0.0,6.178404,6.178404,6.178404,4.614051999999999,0.0,0.0,maternal,low,,,
ENSDARG00000043938,6.512040000000001,34.505022,27.992982,6.512040000000001,16.818763999999998,12.67278,2.25,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000043960,13.7167,134.8884,121.1717,28.99852,20.7457,17.38528,4.3,maternal,medium,2.0,1.0,TU post-ZGA
ENSDARG00000043962,0.0,6.374722,6.374722,0.021157,0.0,0.5748574,16.0,maternal,low,3.0,0.0,SU ZGA
ENSDARG00000043963,2.205826,664.0741399999999,661.8683139999999,664.0741399999999,654.7572,2.205826,0.0,maternal,medium,0.0,0.0,SD
ENSDARG00000043970,16.499679999999998,47.89968,31.40000000000001,47.89968,43.76456,22.73756,0.0,maternal,medium,0.0,0.0,SD
ENSDARG00000043972,6.5457920000000005,66.77242,60.226628,7.2249352,6.5457920000000005,19.047093800000003,6.0,maternal,medium,2.0,2.0,TU post-ZGA
ENSDARG00000043973,9.711248,97.68898,87.977732,20.85116,35.087599999999995,10.74336,3.0,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000043976,47.6711224,602.3022371999999,554.6311148,86.4904482,92.7242802,47.6711224,4.3,maternal,medium,2.0,1.0,TU post-ZGA
ENSDARG00000043982,0.094179,3.507922,3.413743,0.094179,0.216096,0.5319738,6.0,maternal,low,2.0,1.0,TU post-ZGA
ENSDARG00000043986,0.995867,8.451304,7.455437000000001,2.412788,0.995867,3.121866,3.0,maternal,low,1.0,4.0,TU pre-ZGA
ENSDARG00000043997,0.0,7.217840000000001,7.217840000000001,0.0,0.0,7.217840000000001,120.0,zygotic,low,4.0,4.0,SU post-ZGA
ENSDARG00000044001,1.308183,82.89330000000001,81.58511700000001,1.308183,10.409257999999998,69.61746000000001,48.0,maternal,medium,3.0,4.0,SU ZGA
ENSDARG00000044002,2.06719,55.7529,53.68571,9.792376,16.384658,2.06719,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000044010,0.0,9.152334,9.152334,0.0,0.1843054,5.108556,72.0,maternal,low,4.0,3.0,SU post-ZGA
ENSDARG00000044011,10.4913774,62.792418,52.3010406,62.792418,61.40854,10.4913774,0.0,maternal,medium,0.0,1.0,SD
ENSDARG00000044015,0.0,10.037624,10.037624,0.0,0.0,9.790206,96.0,zygotic,medium,4.0,2.0,SU post-ZGA
ENSDARG00000044016,7.729115999999999,65.011248,57.282132,32.271006,65.011248,28.26113400000001,0.75,maternal,medium,0.0,4.0,SD
ENSDARG00000044023,0.0,0.1669818,0.1669818,0.0,0.0,0.0,96.0,zygotic,low,,,
ENSDARG00000044034,0.171761,5.996292,5.824531,0.1818517999999999,0.3505184,5.996292,120.0,maternal,low,4.0,4.0,SU post-ZGA
ENSDARG00000044038,1.720736,180.8366,179.11586400000002,180.8366,104.25320000000002,2.396344,0.0,maternal,medium,0.0,0.0,SD
ENSDARG00000044039,0.2274982,106.6496,106.4221018,106.6496,73.19286,2.801302,0.0,maternal,medium,0.0,4.0,SD
ENSDARG00000044044,0.0,0.6451667999999999,0.6451667999999999,0.6451667999999999,0.4180612,0.5447690000000001,0.0,maternal,low,,,
ENSDARG00000044047,0.0,10.532256,10.532256,4.156108399999999,3.7754388000000008,6.376326000000001,2.25,maternal,medium,1.0,0.0,TU pre-ZGA
ENSDARG00000044048,0.0,1.768018,1.768018,0.0,0.0,1.768018,120.0,zygotic,low,4.0,2.0,SU post-ZGA
ENSDARG00000044053,0.2150344,88.63087800000001,88.41584360000002,0.2186652,0.2609476,88.63087800000001,120.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000044056,4.622210000000001,20.53104,15.908829999999996,7.897373999999999,10.774714,7.446394,8.0,maternal,medium,2.0,3.0,TU post-ZGA
ENSDARG00000044059,0.0466334,58.78124,58.734606600000006,0.0610972,0.0672802,0.0613094,5.25,maternal,medium,2.0,2.0,TU post-ZGA
ENSDARG00000044061,0.0,34.31834,34.31834,29.55422,34.31834,0.170876,0.75,maternal,medium,0.0,0.0,SD
ENSDARG00000044062,17.8815228,73.200929,55.3194062,27.324266,40.8985346,50.1678746,3.0,maternal,medium,1.0,0.0,TU pre-ZGA
ENSDARG00000044072,0.290044,13.391724,13.10168,0.290044,3.904388,10.146942,19.0,maternal,medium,3.0,2.0,SU ZGA
ENSDARG00000044073,11.180084,52.00608,40.825996,42.30906,52.00608,38.72484,0.75,maternal,medium,4.0,1.0,SU post-ZGA
ENSDARG00000044074,0.2408289999999999,20.9438072,20.7029782,2.5422452,2.6267598000000003,12.2759796,19.0,maternal,medium,3.0,4.0,SU ZGA
ENSDARG00000044083,5.833162,70.0786,64.245438,15.724859999999998,34.91032,10.321846,2.25,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000044090,12.03808,70.4266,58.38851999999999,13.13802,20.67008,12.03808,10.3,maternal,medium,2.0,4.0,TU post-ZGA
ENSDARG00000044091,0.0,27.62756000000001,27.62756000000001,0.0618631999999999,0.1053842,24.70982,72.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000044092,1.880814,170.5814,168.70058600000002,3.140598,1.880814,140.5404,96.0,maternal,medium,4.0,3.0,SU post-ZGA
