GeneID,NRMSE,NRMSE_lower,NRMSE_upper,LogLik,LogLik_lower,LogLik_upper,BIC,BIC_lower,BIC_upper
ENSDARG00000000001,0.3643617050415847,0.23805267218331924,0.49833552776064644,-17.337145,-22.221725463867188,-14.0328369140625,49.126148070372246,42.51753261760582,58.8953097172152
ENSDARG00000000002,0.3495552033360819,0.13314739220432897,0.6878370935743999,-13.084273,-16.385311126708984,-10.247879981994629,40.62040554431786,34.94761875347008,47.22248104289879
ENSDARG00000000018,0.4872317458138373,0.2413482948430258,0.9476491562356887,-22.862804,-28.38758087158203,-17.403274536132812,60.17746565989366,49.25840786174645,71.22702053264489
ENSDARG00000000019,0.2618841950166726,0.14888315212141948,0.38907086190658374,-3.368662,-7.961271286010742,0.89021897315979,21.18918349797238,12.671420843161243,30.374401361502308
ENSDARG00000000068,0.39929432535376536,0.22522003308600835,0.6249391926033375,-16.381746,-19.654705047607422,-10.513410568237305,47.21535109738221,35.47867992595543,53.76126888469567
ENSDARG00000000069,0.10208870118783331,0.049971408486080615,0.16673249071222324,7.045683,2.9443576335906982,10.106095314025879,0.36049238517095467,-5.760331838570934,8.563143522299427
ENSDARG00000000086,0.3156204090131431,0.20197704673471345,0.4444015100502727,-9.500735,-11.080666542053223,-7.659584999084473,33.453328962005266,29.77102878764977,36.61319187358727
ENSDARG00000000103,0.37379625145770196,0.2125033217394299,0.5735223342264989,-3.679309,-7.153088092803955,-0.6301854848861694,21.81047656183649,15.712229759253162,28.758034975088734
ENSDARG00000000142,0.4012037208976913,0.2371750884158986,0.6161608881757661,-18.487204,-22.625791549682617,-16.298479080200195,51.426264668978355,47.048816949881214,59.70344188884606
ENSDARG00000000151,0.3295505907946334,0.21479595753255568,0.46184820043458213,-21.484095,-23.91225242614746,-19.48646354675293,57.42005088666788,53.42478588298668,62.276363641775745
ENSDARG00000000161,0.26329868580575205,0.10464556853594154,0.48517226868107005,-8.159834,-13.4796724319458,-4.147356986999512,30.771526544667374,22.746572763479847,41.411203653372425
ENSDARG00000000175,0.6495664227973079,0.24275728240026054,1.4581019561940347,-23.579533,-25.93992805480957,-21.86775779724121,61.610926408804566,58.187374383963245,66.33171489909996
ENSDARG00000000183,0.30746914393290653,0.15616010943638972,0.4817640572623914,-19.657831,-22.182790756225586,-17.64202880859375,53.767522208250675,49.73591640666832,58.817440301931995
ENSDARG00000000189,0.4055411590270781,0.21935244586583388,0.7172382687987628,-17.071226,-20.47341537475586,-13.920441627502441,48.5943107693564,42.292742044485706,55.39868953899254
ENSDARG00000000212,0.4112536626318122,0.19552093630831316,0.7779181279426576,-23.175669,-28.604698181152344,-21.087709426879883,60.80319208244197,56.62727764324059,71.66125515178551
ENSDARG00000000229,0.33152012846334744,0.1859367776453135,0.5285697549635786,-1.7370569,-7.722472190856934,0.4861602783203125,17.92597245975543,13.479538232840198,29.89680317119469
ENSDARG00000000241,0.2424541766310347,0.1034993123927888,0.4341250742387223,-6.1197104,-10.45106315612793,-2.3698787689208984,26.69128003442992,19.19161632732262,35.35398510173668
ENSDARG00000000324,0.29361521496506715,0.17015903462607532,0.4210950453889139,-7.1198134,-10.785113334655762,-4.176997184753418,28.691486040390622,22.80585315898766,36.02208545879235
ENSDARG00000000349,0.3161279025143663,0.18042351381216026,0.46867248056600075,-0.8294834,-4.7745561599731445,3.248328685760498,16.11082569061924,7.955201417959827,24.000971109427113
ENSDARG00000000369,0.18353133790832551,0.09193041169013837,0.29080838198937836,2.991503,-1.1338732242584229,6.828282833099365,8.468853034726875,0.795293123282093,16.71960523799767
ENSDARG00000000370,0.22178935369276606,0.121148436793394,0.3486443351466919,-0.8572178,-4.481061935424805,2.0865492820739746,16.16629434157122,10.278760225332874,23.413982660330433
