,y,model
NRMSE,0.23380722461873826,
NRMSE (95%-hdi[lower]),0.12888898693905737,
NRMSE (95%-hdi[upper]),0.35345046248275436,
Log-Likelihood,-7.214646816253662,-7.214646816253662
Log-Likelihood (95%-hdi[lower]),-11.492977142333984,-11.492977142333984
Log-Likelihood (95%-hdi[upper]),-3.9230377674102783,-3.9230377674102783
n (data),18,18
k (parameters),,7
BIC,,34.66191367296272
BIC (95%-hdi[lower]),,28.078677840093707
BIC (95%-hdi[upper]),,43.218556589941116
