GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000001259,0.714,0.363,0.393,0.464,0.25,0.0776
ENSDARG00000001303,0.0449,0.255,0.35,0.0376,0.213,0.0634
ENSDARG00000001313,0.359,0.0326,0.677,0.369,0.0175,0.118
ENSDARG00000001354,0.0787,0.0121,0.274,0.0171,0.00754,0.0582
ENSDARG00000001414,0.851,0.181,0.827,0.391,0.0972,0.137
ENSDARG00000001431,2.37,0.0205,1.06,0.973,0.0213,0.192
ENSDARG00000001437,0.276,0.0293,0.754,0.107,0.0254,0.138
ENSDARG00000001442,0.426,0.379,0.531,0.164,0.073,0.0924
ENSDARG00000001447,0.473,0.0707,0.467,0.387,0.0468,0.0816
ENSDARG00000001452,0.978,0.271,0.625,0.577,0.111,0.118
ENSDARG00000001463,0.351,0.0239,0.915,0.242,0.059,0.178
ENSDARG00000001470,1.96,0.127,0.571,1.59,0.0998,0.0966
ENSDARG00000001498,0.119,0.116,0.317,0.0443,0.0539,0.0584
ENSDARG00000001549,0.826,0.077,0.967,0.872,0.0616,0.156
ENSDARG00000001557,0.339,0.0293,0.296,0.256,0.0128,0.0584
ENSDARG00000001558,0.547,0.0373,0.231,0.199,0.00415,0.0448
ENSDARG00000001559,0.107,0.213,0.457,0.0935,0.232,0.0813
ENSDARG00000001578,24.3,0.402,0.504,8.7,0.16,0.0903
ENSDARG00000001621,1.01,0.165,0.679,0.491,0.0585,0.113
ENSDARG00000001634,0.494,0.0403,0.641,0.155,0.0221,0.107
ENSDARG00000001676,1.85,0.0489,0.557,1.19,0.0485,0.0999
ENSDARG00000001686,0.0407,0.018,0.259,0.024,0.0303,0.0606
ENSDARG00000001710,6.93,0.337,0.613,4.25,0.209,0.108
ENSDARG00000001712,0.061,0.0409,0.31,0.0218,0.0248,0.059
ENSDARG00000001721,0.258,0.077,1.22,0.153,0.0512,0.206
ENSDARG00000001729,0.776,0.0268,0.173,0.512,0.0129,0.038
ENSDARG00000001733,2.93,0.266,0.789,1.54,0.118,0.132
ENSDARG00000001734,2.13,0.191,0.468,0.805,0.0566,0.0824
ENSDARG00000001754,17.8,0.346,0.752,9.04,0.181,0.139
ENSDARG00000001760,0.145,0.111,0.743,0.16,0.199,0.146
ENSDARG00000001767,8.45,0.945,0.417,1.71,0.131,0.0769
ENSDARG00000001769,0.738,0.116,0.386,0.307,0.0366,0.0677
ENSDARG00000001771,0.0127,0.0249,0.151,0.0117,0.0677,0.0413
ENSDARG00000001776,0.297,0.208,0.342,0.238,0.173,0.0637
ENSDARG00000001777,0.617,0.0467,0.182,0.151,0.0057,0.0365
ENSDARG00000001781,0.387,0.0776,0.465,0.152,0.0451,0.0812
ENSDARG00000001782,0.35,0.0936,0.591,0.128,0.0459,0.101
ENSDARG00000001785,0.229,0.0179,0.533,0.0651,0.012,0.1
ENSDARG00000001788,160.0,0.748,0.947,78.8,0.368,0.167
ENSDARG00000001803,0.205,0.203,0.521,0.169,0.197,0.09
ENSDARG00000001804,1.97,0.418,0.395,0.538,0.0827,0.0709
ENSDARG00000001807,0.195,0.0232,0.367,0.0497,0.0133,0.0703
ENSDARG00000001817,0.182,0.0921,0.703,0.138,0.0494,0.117
ENSDARG00000001818,0.0553,0.011,0.269,0.0144,0.00939,0.0612
ENSDARG00000001825,0.0661,0.109,0.231,0.0252,0.0509,0.0448
ENSDARG00000001829,26.7,0.42,0.479,10.5,0.174,0.0904
ENSDARG00000001835,0.112,0.0249,0.451,0.0632,0.0318,0.0929
ENSDARG00000001857,1.5,0.118,0.565,0.797,0.0489,0.0951
ENSDARG00000001859,0.681,0.0669,0.903,0.253,0.0354,0.146
ENSDARG00000001870,1.52,0.029,1.14,1.04,0.0496,0.215
ENSDARG00000001873,18.7,0.318,0.683,7.18,0.139,0.122
ENSDARG00000001879,1.85,0.216,0.582,0.635,0.0863,0.101
ENSDARG00000001880,2.28,0.244,0.672,1.33,0.131,0.114
ENSDARG00000001881,0.0253,0.0893,0.239,0.0246,0.148,0.0536
ENSDARG00000001882,0.139,0.0168,0.627,0.0563,0.0191,0.127
ENSDARG00000001888,6.0,0.368,0.834,3.69,0.221,0.156
ENSDARG00000001889,17.2,0.0357,1.33,7.1,0.0251,0.214
ENSDARG00000001890,3.82,0.0773,0.507,3.41,0.06,0.0863
ENSDARG00000001891,0.059,0.0525,0.4,0.0614,0.0988,0.088
ENSDARG00000001897,1.57,0.0967,0.458,1.12,0.0612,0.0782
ENSDARG00000001898,3.34,0.559,0.465,0.932,0.117,0.0837
