GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000020475,0.195,0.0273,0.632,0.126,0.0422,0.127
ENSDARG00000020482,2.39,0.0337,0.449,1.52,0.00806,0.0814
ENSDARG00000020488,0.233,0.093,0.718,0.198,0.0619,0.119
ENSDARG00000020493,6.01,0.339,0.35,1.39,0.0574,0.065
ENSDARG00000020494,15.4,0.388,0.658,8.51,0.219,0.127
ENSDARG00000020497,2.06,0.0278,0.123,1.15,0.019,0.0286
ENSDARG00000020504,406.0,0.199,0.876,256.0,0.124,0.152
ENSDARG00000020509,0.0948,0.182,0.318,0.0853,0.168,0.0595
ENSDARG00000020521,0.515,0.0397,0.359,0.143,0.0181,0.0663
ENSDARG00000020527,1.1,0.0325,0.518,0.927,0.0145,0.0926
ENSDARG00000020529,0.649,0.11,0.659,0.56,0.0801,0.109
ENSDARG00000020541,3.23,0.136,1.12,1.45,0.078,0.179
ENSDARG00000020544,0.665,0.225,0.497,0.272,0.0581,0.0879
ENSDARG00000020573,4.15,0.107,0.512,2.53,0.0542,0.0872
ENSDARG00000020574,37.9,0.0747,2.39,35.0,0.124,0.408
ENSDARG00000020581,0.32,0.17,0.642,0.319,0.2,0.114
ENSDARG00000020594,0.895,0.0349,1.03,0.35,0.0254,0.169
ENSDARG00000020595,1.96,0.151,0.61,0.612,0.058,0.103
ENSDARG00000020596,5.6,0.323,0.534,3.05,0.18,0.0998
ENSDARG00000020600,0.0501,0.0409,0.253,0.0491,0.0613,0.0564
ENSDARG00000020602,0.636,0.268,1.28,0.717,0.404,0.226
ENSDARG00000020606,0.0742,0.0527,0.263,0.0286,0.0294,0.0503
ENSDARG00000020607,3.98,0.107,0.217,3.12,0.0833,0.0416
ENSDARG00000020609,1.09,0.0215,1.1,0.524,0.0337,0.211
ENSDARG00000020610,0.586,0.0254,0.636,0.179,0.017,0.114
ENSDARG00000020611,0.438,0.0712,0.685,0.279,0.0274,0.114
ENSDARG00000020618,1.79,0.217,0.592,0.94,0.0982,0.0999
ENSDARG00000020621,4.32,0.188,0.525,2.91,0.123,0.0913
ENSDARG00000020623,1.39,0.0766,0.26,0.517,0.0182,0.0493
ENSDARG00000020625,2.36,0.127,0.291,1.9,0.101,0.0535
ENSDARG00000020642,0.749,0.101,0.867,0.788,0.0876,0.141
ENSDARG00000020645,3.05,0.131,0.499,2.68,0.108,0.0847
ENSDARG00000020647,8.51,0.422,0.54,3.75,0.193,0.103
ENSDARG00000020655,0.0652,0.0282,0.337,0.0201,0.017,0.0638
ENSDARG00000020656,0.241,0.096,0.791,0.204,0.066,0.13
ENSDARG00000020676,16.3,0.419,0.554,7.38,0.201,0.106
ENSDARG00000020679,13.6,0.32,0.582,5.96,0.115,0.106
ENSDARG00000020693,1.67,0.0401,0.615,1.49,0.0623,0.124
ENSDARG00000020699,2.69,0.498,0.448,0.738,0.0987,0.0824
ENSDARG00000020702,0.599,0.0721,0.774,0.642,0.0623,0.128
ENSDARG00000020708,6.79,0.0362,1.37,3.07,0.0288,0.223
ENSDARG00000020711,8.66,0.117,0.66,5.93,0.0375,0.11
ENSDARG00000020718,0.438,0.212,0.631,0.38,0.194,0.106
ENSDARG00000020730,0.709,0.0826,0.443,0.321,0.0197,0.0774
ENSDARG00000020735,0.0664,0.0896,0.16,0.0211,0.0361,0.0327
ENSDARG00000020738,0.13,0.243,0.266,0.0615,0.125,0.052
ENSDARG00000020741,0.952,0.0286,1.2,0.488,0.0379,0.216
ENSDARG00000020744,0.034,0.0676,0.327,0.0346,0.132,0.0728
ENSDARG00000020746,0.174,0.131,0.686,0.105,0.0993,0.114
ENSDARG00000020749,0.0731,0.239,0.814,0.0613,0.0387,0.132
ENSDARG00000020758,0.0927,0.0132,0.467,0.0346,0.0198,0.098
ENSDARG00000020759,5.36,0.219,0.6,4.39,0.17,0.106
ENSDARG00000020761,2.4,0.128,0.476,0.707,0.0518,0.0825
ENSDARG00000020764,1.6,0.408,0.701,0.533,0.0675,0.118
ENSDARG00000020771,0.49,0.264,0.777,0.479,0.283,0.13
ENSDARG00000020777,0.929,0.11,0.556,0.755,0.0833,0.094
ENSDARG00000020785,0.358,0.016,0.505,0.0785,0.00901,0.0951
ENSDARG00000020788,0.289,0.272,0.532,0.156,0.148,0.0977
ENSDARG00000020794,0.824,0.1,0.969,0.843,0.149,0.166
ENSDARG00000020795,0.321,0.0145,0.693,0.112,0.0168,0.136
ENSDARG00000020798,8.4,0.399,0.941,4.36,0.231,0.158
ENSDARG00000020811,2.52,0.117,1.28,1.28,0.0707,0.204
ENSDARG00000020814,0.231,0.0925,0.87,0.274,0.191,0.174
ENSDARG00000020820,13.3,0.259,0.632,9.06,0.172,0.119
ENSDARG00000020822,1.39,0.171,0.423,0.477,0.0677,0.0752
ENSDARG00000020834,1.74,0.223,0.377,0.842,0.0808,0.07
ENSDARG00000020840,22.1,0.465,0.548,10.5,0.226,0.108
ENSDARG00000020841,1.99,0.0564,0.981,2.01,0.0366,0.156
ENSDARG00000020845,0.444,0.0505,0.512,0.274,0.0484,0.093
ENSDARG00000020847,2.01,0.125,0.586,1.79,0.124,0.0999
ENSDARG00000020850,1590.0,0.138,0.566,856.0,0.0814,0.0967
ENSDARG00000020857,0.392,0.191,0.745,0.373,0.177,0.122
ENSDARG00000020863,0.322,0.181,1.12,0.295,0.137,0.191
ENSDARG00000020866,5.74,0.0239,1.17,2.44,0.0239,0.207
ENSDARG00000020871,1.56,0.13,0.742,1.47,0.139,0.123
ENSDARG00000020872,0.0597,0.157,0.53,0.0391,0.0379,0.0914
ENSDARG00000020876,0.285,0.0103,0.566,0.0786,0.0106,0.116
ENSDARG00000020884,0.662,0.101,0.677,0.238,0.0473,0.114
ENSDARG00000020887,13.0,0.302,0.79,5.72,0.145,0.144
ENSDARG00000020890,1.98,0.019,1.01,0.678,0.014,0.181
ENSDARG00000020891,4.75,0.271,0.494,3.36,0.188,0.095
ENSDARG00000020893,14.0,0.0787,1.14,5.37,0.045,0.179
ENSDARG00000020895,8.94,0.308,0.426,2.73,0.11,0.0781
ENSDARG00000020898,0.56,0.143,0.655,0.328,0.067,0.11
ENSDARG00000020901,0.161,0.0292,0.609,0.0764,0.0323,0.117
ENSDARG00000020913,17.3,0.393,0.902,8.12,0.194,0.163
ENSDARG00000020924,0.195,0.0341,0.353,0.0692,0.0229,0.068
ENSDARG00000020926,3.57,0.202,0.793,2.96,0.178,0.129
ENSDARG00000020929,5.21,0.358,0.501,1.25,0.0503,0.0886
ENSDARG00000020944,0.232,0.0121,0.547,0.0602,0.00954,0.108
ENSDARG00000020946,1.7,0.0846,0.71,0.512,0.0365,0.117
ENSDARG00000020948,1.28,0.0927,0.628,1.1,0.0672,0.105
ENSDARG00000020952,0.219,0.196,0.849,0.243,0.302,0.158
ENSDARG00000020953,2.44,0.16,0.383,0.933,0.0497,0.0693
ENSDARG00000020956,4.36,0.0872,1.23,1.95,0.0559,0.192
ENSDARG00000020957,0.0689,0.193,0.537,0.0629,0.167,0.0911
ENSDARG00000020960,4.26,0.179,0.287,1.75,0.0651,0.0539
ENSDARG00000020964,1.55,0.135,0.918,1.56,0.118,0.154
ENSDARG00000020976,1.83,0.273,0.288,0.568,0.0683,0.0543
ENSDARG00000020979,0.642,0.683,0.746,0.295,0.08,0.125
ENSDARG00000020981,0.284,0.17,0.998,0.28,0.143,0.16
ENSDARG00000020982,0.838,0.282,0.962,0.48,0.109,0.155
ENSDARG00000020984,1.62,0.0857,0.85,0.629,0.0504,0.137
ENSDARG00000020986,1.08,0.271,0.399,0.275,0.0318,0.0725
ENSDARG00000021004,0.339,0.0312,0.724,0.113,0.0203,0.124
ENSDARG00000021021,5.16,0.319,0.605,3.29,0.2,0.116
ENSDARG00000021022,0.513,0.0686,0.326,0.32,0.0306,0.0591
ENSDARG00000021032,3.51,0.138,0.952,1.39,0.0696,0.154
ENSDARG00000021033,1.65,0.074,0.241,1.47,0.0729,0.0474
ENSDARG00000021046,0.681,0.32,0.431,0.194,0.0501,0.0765
ENSDARG00000021048,3.36,0.232,0.277,0.9,0.0506,0.0532
ENSDARG00000021059,11.7,0.127,0.632,7.6,0.067,0.107
ENSDARG00000021082,4.98,0.33,0.457,2.17,0.155,0.0866
ENSDARG00000021086,0.997,0.137,0.406,0.381,0.0348,0.0722
ENSDARG00000021097,0.587,0.0434,0.571,0.525,0.0251,0.0987
ENSDARG00000021107,4.76,0.0753,0.274,1.24,0.00901,0.0524
ENSDARG00000021110,0.956,0.102,0.953,1.01,0.0882,0.153
ENSDARG00000021112,6.49,0.205,0.994,5.4,0.157,0.175
ENSDARG00000021113,13.7,0.0229,0.812,3.83,0.0139,0.139
ENSDARG00000021115,0.541,0.117,0.469,0.244,0.0644,0.0821
ENSDARG00000021120,0.641,0.0646,0.349,0.198,0.00859,0.0646
ENSDARG00000021124,428.0,0.421,0.364,202.0,0.205,0.0741
ENSDARG00000021135,0.241,0.0186,0.395,0.122,0.0213,0.085
ENSDARG00000021137,0.249,0.0763,0.407,0.0679,0.0281,0.0726
ENSDARG00000021140,3.77,0.0757,0.71,3.0,0.0868,0.124
ENSDARG00000021141,3.61,0.169,0.654,3.4,0.147,0.113
ENSDARG00000021143,1.32,0.0227,0.746,0.542,0.0259,0.139
ENSDARG00000021147,1.52,0.136,0.396,1.31,0.118,0.07
ENSDARG00000021149,12.6,0.341,0.468,5.55,0.172,0.0866
ENSDARG00000021150,0.105,0.169,0.308,0.0838,0.157,0.0565
ENSDARG00000021151,0.281,0.0339,0.582,0.0974,0.0223,0.104
ENSDARG00000021154,0.214,0.0219,0.569,0.0634,0.015,0.104
ENSDARG00000021163,0.345,0.053,0.623,0.208,0.0535,0.111
ENSDARG00000021172,0.642,0.398,1.2,0.675,0.496,0.201
ENSDARG00000021177,1.91,0.461,0.442,0.832,0.185,0.0837
ENSDARG00000021184,1.9,0.0344,1.35,0.835,0.0284,0.22
ENSDARG00000021193,3.24,0.0528,0.682,0.844,0.0229,0.114
ENSDARG00000021195,0.677,0.039,0.748,0.212,0.0216,0.125
ENSDARG00000021200,0.155,0.214,0.374,0.0849,0.134,0.0664
ENSDARG00000021201,0.446,0.127,1.97,0.423,0.0984,0.333
ENSDARG00000021208,0.133,0.0164,0.437,0.036,0.0115,0.0856
ENSDARG00000021209,0.304,0.187,0.657,0.211,0.109,0.109
ENSDARG00000021220,7.42,0.489,0.679,3.25,0.192,0.122
ENSDARG00000021225,1.24,0.0525,0.496,0.844,0.0246,0.0872
ENSDARG00000021232,0.307,0.099,0.898,0.167,0.0632,0.148
ENSDARG00000021233,1.45,0.279,0.661,0.786,0.133,0.114
ENSDARG00000021239,4.58,0.471,0.467,1.89,0.205,0.0896
ENSDARG00000021241,0.115,0.107,0.427,0.109,0.14,0.0814
ENSDARG00000021242,19.1,0.27,0.494,6.03,0.099,0.0878
ENSDARG00000021250,0.231,0.00849,0.348,0.0372,0.00513,0.0709
ENSDARG00000021252,52.4,0.171,0.427,11.3,0.0469,0.0763
ENSDARG00000021255,0.0989,0.0337,0.291,0.0233,0.0138,0.0556
ENSDARG00000021257,42.0,0.122,0.539,10.6,0.0405,0.0918
ENSDARG00000021265,0.98,0.0303,1.12,0.415,0.0263,0.19
ENSDARG00000021287,1.45,0.0905,0.613,0.463,0.0402,0.105
ENSDARG00000021288,0.552,0.103,0.922,0.438,0.0591,0.146
ENSDARG00000021305,0.0343,0.0194,0.261,0.0126,0.0176,0.0563
ENSDARG00000021309,15.4,0.511,0.284,4.18,0.15,0.0553
ENSDARG00000021324,0.275,0.0766,0.523,0.172,0.0298,0.0891
ENSDARG00000021339,4.82,0.776,1.93,5.09,0.922,0.31
ENSDARG00000021343,21.9,0.627,0.824,12.6,0.376,0.15
ENSDARG00000021345,0.051,0.0695,0.428,0.0591,0.148,0.0912
ENSDARG00000021346,10.8,0.0577,0.388,1.72,0.0157,0.0704
ENSDARG00000021351,0.271,0.0158,0.728,0.0907,0.0149,0.139
ENSDARG00000021352,0.0806,0.0105,0.329,0.019,0.00764,0.0704
ENSDARG00000021366,0.851,0.0175,0.353,0.154,0.00815,0.0665
ENSDARG00000021370,4.4,0.176,0.596,3.15,0.122,0.108
ENSDARG00000021372,20.8,0.392,0.599,10.1,0.173,0.104
ENSDARG00000021374,1.61,0.0859,0.623,1.47,0.0648,0.105
ENSDARG00000021378,3.76,0.353,0.481,1.58,0.157,0.0903
ENSDARG00000021380,0.343,0.0792,0.492,0.181,0.0289,0.0845
ENSDARG00000021383,0.826,0.0693,0.592,0.346,0.0431,0.102
ENSDARG00000021389,1.08,0.0978,0.733,0.666,0.0718,0.122
ENSDARG00000021398,0.502,0.147,0.348,0.299,0.107,0.0625
ENSDARG00000021399,2.32,0.136,0.56,1.93,0.121,0.0944
ENSDARG00000021402,1.99,0.222,0.261,0.408,0.0284,0.0499
ENSDARG00000021404,7.87,0.304,0.513,5.28,0.201,0.0966
ENSDARG00000021405,0.123,0.0534,0.686,0.13,0.116,0.145
ENSDARG00000021408,0.364,0.0378,0.45,0.313,0.0192,0.0831
ENSDARG00000021433,4.24,0.499,0.804,2.48,0.291,0.152
ENSDARG00000021439,13.0,0.306,0.269,2.61,0.0479,0.0519
ENSDARG00000021442,1.31,0.0356,0.733,0.416,0.0222,0.124
ENSDARG00000021443,0.758,0.0157,0.451,0.142,0.00853,0.0861
ENSDARG00000021455,1.79,0.175,0.428,0.627,0.0463,0.0757
ENSDARG00000021462,0.286,0.0848,0.619,0.103,0.0412,0.103
ENSDARG00000021466,4.06,0.315,0.377,1.15,0.0665,0.0698
ENSDARG00000021480,0.0547,0.0157,0.24,0.0125,0.00917,0.0502
ENSDARG00000021483,5.77,0.069,0.631,5.16,0.0499,0.106
ENSDARG00000021488,1.41,0.0966,0.515,0.599,0.0505,0.088
ENSDARG00000021494,1.8,0.219,1.3,1.05,0.149,0.203
ENSDARG00000021509,2.43,0.0756,0.714,2.42,0.0606,0.118
ENSDARG00000021521,0.0563,0.279,0.835,0.0482,0.0621,0.138
ENSDARG00000021539,0.791,0.116,0.799,0.67,0.111,0.129
ENSDARG00000021547,1.62,0.541,0.37,0.351,0.0667,0.0694
ENSDARG00000021550,3.52,0.0425,0.186,1.09,0.00808,0.0379
ENSDARG00000021555,0.113,0.029,0.472,0.0727,0.0464,0.0951
ENSDARG00000021556,8.87,0.326,0.351,3.31,0.108,0.0649
ENSDARG00000021557,17.6,0.55,0.348,5.33,0.179,0.0671
ENSDARG00000021566,1.37,0.16,1.12,0.73,0.0941,0.182
ENSDARG00000021569,0.733,0.0947,0.385,0.258,0.0201,0.0681
ENSDARG00000021573,0.154,0.254,0.537,0.132,0.209,0.0908
ENSDARG00000021579,2.01,0.212,0.616,1.16,0.139,0.109
ENSDARG00000021582,31.6,0.24,0.297,5.82,0.0544,0.0559
ENSDARG00000021584,0.761,0.295,0.742,0.474,0.155,0.121
ENSDARG00000021589,5.35,0.607,0.391,2.55,0.294,0.0828
ENSDARG00000021590,0.047,0.0111,0.14,0.00697,0.00489,0.0316
ENSDARG00000021595,0.219,0.017,0.717,0.116,0.0342,0.146
ENSDARG00000021607,0.958,0.109,0.673,0.87,0.121,0.116
ENSDARG00000021611,3.0,0.148,0.652,2.3,0.121,0.11
ENSDARG00000021633,1.13,0.023,0.789,0.354,0.0168,0.139
ENSDARG00000021647,2.33,0.052,0.842,0.759,0.0287,0.139
ENSDARG00000021664,1.22,0.0624,0.769,0.377,0.0306,0.125
ENSDARG00000021669,119.0,0.428,0.466,36.5,0.144,0.0858
ENSDARG00000021677,0.0956,0.114,0.862,0.0718,0.0477,0.141
ENSDARG00000021681,0.757,0.118,0.619,0.62,0.085,0.103
ENSDARG00000021688,0.0749,0.162,0.833,0.0736,0.139,0.141
ENSDARG00000021697,0.036,0.11,0.207,0.0167,0.0603,0.0415
ENSDARG00000021702,7.42,0.0953,0.252,6.64,0.0813,0.0481
ENSDARG00000021720,0.477,0.0442,0.884,0.201,0.0332,0.146
ENSDARG00000021735,0.0499,0.0239,0.265,0.0275,0.0307,0.0573
ENSDARG00000021739,0.621,0.117,0.716,0.54,0.0883,0.117
ENSDARG00000021753,11.1,0.212,0.257,2.6,0.0577,0.049
ENSDARG00000021787,2.3,0.129,0.609,1.77,0.116,0.102
ENSDARG00000021789,0.359,0.0152,0.571,0.0909,0.0105,0.108
ENSDARG00000021794,2.81,0.333,0.635,1.46,0.115,0.122
ENSDARG00000021805,0.877,0.156,0.703,0.838,0.175,0.117
ENSDARG00000021806,13.1,0.497,0.445,4.45,0.145,0.0812
ENSDARG00000021808,1.39,0.0733,0.415,0.999,0.0438,0.0732
ENSDARG00000021811,53.9,0.293,0.513,18.1,0.0724,0.0889
ENSDARG00000021812,17.7,0.213,0.807,13.1,0.148,0.147
ENSDARG00000021827,1.36,0.352,0.465,0.372,0.0494,0.0846
ENSDARG00000021833,0.681,0.0793,0.711,0.68,0.109,0.126
ENSDARG00000021838,125.0,0.0558,0.641,44.0,0.0286,0.108
ENSDARG00000021846,1.41,0.189,0.907,1.33,0.165,0.148
ENSDARG00000021849,0.624,0.414,0.505,0.204,0.0403,0.0915
ENSDARG00000021853,1.89,0.273,0.535,1.21,0.173,0.0986
ENSDARG00000021855,0.363,0.197,0.346,0.196,0.0942,0.0623
ENSDARG00000021859,0.2,0.229,0.779,0.114,0.0537,0.127
ENSDARG00000021864,156.0,0.0427,0.778,46.8,0.0225,0.13
ENSDARG00000021866,0.0193,0.109,0.186,0.0186,0.151,0.0416
ENSDARG00000021869,0.1,0.0119,0.431,0.0261,0.0107,0.0886
ENSDARG00000021882,5.38,0.141,0.432,1.22,0.0415,0.0769
ENSDARG00000021885,0.739,0.255,0.861,0.616,0.194,0.153
ENSDARG00000021889,0.038,0.0144,0.249,0.0102,0.0109,0.0541
ENSDARG00000021891,0.677,0.125,0.338,0.549,0.0992,0.061
ENSDARG00000021895,0.156,0.164,0.602,0.147,0.145,0.102
ENSDARG00000021896,0.604,0.125,0.88,0.501,0.0889,0.142
ENSDARG00000021899,0.75,0.113,0.452,0.303,0.0256,0.08
ENSDARG00000021905,1.56,0.0488,0.198,0.844,0.0207,0.0397
ENSDARG00000021909,0.119,0.223,0.405,0.118,0.238,0.073
ENSDARG00000021913,0.0909,0.104,0.252,0.0347,0.0504,0.0477
ENSDARG00000021916,0.267,0.0469,0.572,0.0848,0.024,0.0986
ENSDARG00000021924,1.24,0.116,0.478,0.785,0.0825,0.0827
ENSDARG00000021938,0.912,0.11,0.401,0.242,0.0394,0.072
ENSDARG00000021945,5.61,0.0983,0.691,5.68,0.0859,0.115
ENSDARG00000021948,0.855,0.0276,1.03,0.314,0.0198,0.174
ENSDARG00000021959,0.395,0.0864,0.68,0.149,0.0438,0.113
ENSDARG00000021973,8.55,0.113,0.281,4.07,0.0457,0.0521
ENSDARG00000021974,0.116,0.0645,0.755,0.0856,0.0221,0.124
ENSDARG00000021975,2.85,0.101,0.343,2.52,0.096,0.062
ENSDARG00000021979,1.63,0.204,0.504,1.01,0.12,0.087
ENSDARG00000021982,0.0398,0.114,0.214,0.0371,0.132,0.0435
ENSDARG00000021984,7.07,0.0344,0.473,1.49,0.0142,0.0836
ENSDARG00000021985,6.68,0.384,0.783,3.1,0.186,0.143
ENSDARG00000021987,0.497,0.0213,0.519,0.114,0.0113,0.0954
ENSDARG00000021991,7.62,0.182,0.16,1.2,0.0218,0.0325
ENSDARG00000021996,0.424,0.0498,0.576,0.306,0.0225,0.0995
ENSDARG00000021997,0.101,0.189,0.206,0.063,0.129,0.0408
ENSDARG00000022000,0.591,0.217,0.729,0.317,0.0867,0.123
ENSDARG00000022007,0.0626,0.125,0.459,0.0451,0.0587,0.0798
ENSDARG00000022020,2.76,0.356,0.66,1.29,0.174,0.124
ENSDARG00000022045,0.107,0.0103,0.39,0.0295,0.0118,0.0826
ENSDARG00000022085,0.353,0.0761,0.461,0.114,0.0335,0.0804
ENSDARG00000022101,0.298,0.0208,0.663,0.0877,0.0136,0.119
ENSDARG00000022129,6.12,0.0469,0.309,2.22,0.00699,0.0572
ENSDARG00000022160,0.389,0.125,0.529,0.321,0.103,0.0892
ENSDARG00000022165,1.28,0.0962,0.551,0.417,0.0439,0.0954
ENSDARG00000022176,3.06,0.6,0.86,1.42,0.205,0.142
ENSDARG00000022177,0.367,0.0898,0.134,0.0678,0.0118,0.0283
ENSDARG00000022183,0.0931,0.0473,0.543,0.0869,0.0927,0.118
ENSDARG00000022187,0.492,0.0801,0.377,0.14,0.0323,0.0682
ENSDARG00000022203,0.792,0.0946,0.241,0.141,0.0242,0.0462
ENSDARG00000022213,2.45,0.0844,0.303,0.976,0.0207,0.056
ENSDARG00000022218,0.19,0.0512,0.336,0.0977,0.0431,0.0644
ENSDARG00000022232,1.17,0.0388,0.719,1.22,0.0228,0.123
ENSDARG00000022254,1.74,0.324,0.663,0.73,0.0991,0.113
ENSDARG00000022260,0.963,0.174,0.62,0.478,0.0665,0.105
ENSDARG00000022261,0.367,0.0369,0.967,0.301,0.0811,0.2
ENSDARG00000022271,0.0791,0.201,0.468,0.0641,0.142,0.0894
ENSDARG00000022280,33.5,0.339,0.633,17.6,0.182,0.117
ENSDARG00000022295,0.243,0.0892,0.5,0.118,0.0595,0.0861
ENSDARG00000022303,6.21,0.194,0.403,1.81,0.0354,0.0732
ENSDARG00000022309,3.63,0.107,1.04,1.68,0.0654,0.166
ENSDARG00000022315,8.08,0.0365,0.299,2.71,0.0194,0.0574
ENSDARG00000022334,0.0311,0.16,0.56,0.0315,0.152,0.0942
ENSDARG00000022340,3.71,0.134,0.745,2.99,0.121,0.121
ENSDARG00000022350,1.37,0.217,0.585,0.726,0.0977,0.101
ENSDARG00000022372,5.34,0.353,1.13,4.16,0.324,0.185
ENSDARG00000022378,0.595,0.302,0.744,0.285,0.0965,0.126
ENSDARG00000022399,4.24,0.0937,0.59,3.54,0.0736,0.0997
ENSDARG00000022410,26.8,0.275,0.801,12.6,0.137,0.141
ENSDARG00000022413,0.918,0.231,0.469,0.438,0.135,0.0826
ENSDARG00000022418,1.81,0.0719,0.507,1.38,0.0451,0.088
ENSDARG00000022424,4.14,0.433,0.47,1.09,0.0787,0.0848
ENSDARG00000022430,0.745,0.046,0.728,0.772,0.0312,0.122
ENSDARG00000022437,0.182,0.0138,0.579,0.0597,0.0149,0.115
ENSDARG00000022438,25.9,0.0354,0.338,4.52,0.0115,0.0624
ENSDARG00000022456,7.61,0.0769,1.21,6.46,0.112,0.208
ENSDARG00000022466,0.224,0.172,0.644,0.116,0.0468,0.11
ENSDARG00000022493,0.0204,0.139,0.604,0.0177,0.0422,0.102
ENSDARG00000022503,0.125,0.029,0.314,0.0296,0.013,0.0595
ENSDARG00000022509,0.324,0.0128,0.647,0.0939,0.0114,0.13
ENSDARG00000022512,0.0223,0.0281,0.179,0.0082,0.0201,0.0389
ENSDARG00000022518,0.0178,0.0307,0.19,0.015,0.0673,0.0472
ENSDARG00000022531,0.291,0.0231,0.422,0.0598,0.0105,0.078
ENSDARG00000022550,0.438,0.0891,0.718,0.256,0.0612,0.119
ENSDARG00000022560,0.135,0.151,0.425,0.114,0.134,0.0736
ENSDARG00000022564,1.75,0.0749,0.245,0.44,0.0091,0.0468
ENSDARG00000022569,1.04,0.0638,0.688,0.296,0.027,0.115
ENSDARG00000022599,2.63,0.147,0.624,2.25,0.122,0.105
ENSDARG00000022614,0.0356,0.0964,0.65,0.0265,0.0141,0.11
ENSDARG00000022615,0.0587,0.0277,0.346,0.0198,0.0194,0.066
ENSDARG00000022623,6.21,0.53,0.301,1.34,0.0908,0.057
ENSDARG00000022631,0.142,0.0213,0.49,0.066,0.0277,0.102
ENSDARG00000022648,6.5,0.389,0.802,3.99,0.237,0.151
ENSDARG00000022650,0.577,0.0215,0.748,0.33,0.0348,0.152
ENSDARG00000022652,4.04,0.338,0.408,1.1,0.0659,0.0741
ENSDARG00000022659,5.47,0.259,0.319,1.52,0.0576,0.0607
ENSDARG00000022660,0.0743,0.127,0.247,0.0622,0.115,0.0468
ENSDARG00000022668,0.0179,0.0694,0.203,0.0195,0.134,0.0499
ENSDARG00000022670,0.00899,0.134,1.21,0.0129,0.172,0.186
ENSDARG00000022684,52.0,0.0602,0.585,12.0,0.0225,0.101
ENSDARG00000022689,0.223,0.0139,0.55,0.0572,0.00952,0.105
ENSDARG00000022690,1.95,0.0958,0.435,1.18,0.046,0.0761
ENSDARG00000022698,0.366,0.0746,0.589,0.169,0.0523,0.101
ENSDARG00000022712,2.14,0.154,0.696,2.11,0.136,0.117
ENSDARG00000022718,0.447,0.13,0.278,0.113,0.0176,0.0517
ENSDARG00000022727,0.965,0.146,0.513,0.295,0.0564,0.0884
ENSDARG00000022730,0.094,0.117,0.338,0.0666,0.0709,0.0608
ENSDARG00000022763,1.28,0.237,0.681,0.55,0.0736,0.116
ENSDARG00000022767,5.17,0.0325,1.48,2.71,0.0363,0.251
ENSDARG00000022768,4.12,0.189,0.306,2.62,0.107,0.0572
ENSDARG00000022772,0.282,0.107,0.628,0.3,0.148,0.112
ENSDARG00000022788,14.3,0.346,0.375,4.71,0.126,0.0704
ENSDARG00000022795,1.44,0.278,0.556,0.68,0.113,0.0981
ENSDARG00000022807,2.26,0.153,1.09,1.04,0.0877,0.173
ENSDARG00000022810,0.233,0.0138,0.469,0.0623,0.0108,0.0921
ENSDARG00000022813,0.0406,0.355,0.355,0.0355,0.0265,0.066
ENSDARG00000022817,0.523,0.029,1.06,0.24,0.0339,0.186
ENSDARG00000022832,17.9,0.402,0.573,7.96,0.187,0.108
ENSDARG00000022845,3.65,0.289,0.617,2.64,0.222,0.109
ENSDARG00000022853,0.514,0.192,0.39,0.224,0.0984,0.0716
ENSDARG00000022858,0.123,0.121,0.627,0.0687,0.0774,0.108
ENSDARG00000022891,0.719,0.0257,0.598,0.179,0.0141,0.106
ENSDARG00000022895,0.0935,0.145,0.373,0.0851,0.167,0.0693
ENSDARG00000022904,0.77,0.219,0.968,0.447,0.15,0.154
ENSDARG00000022905,1.5,0.427,0.679,0.954,0.265,0.132
ENSDARG00000022918,3.73,0.336,0.784,2.43,0.226,0.143
ENSDARG00000022939,5.94,0.3,0.309,3.84,0.198,0.0622
ENSDARG00000022944,1.82,0.304,0.956,1.33,0.225,0.167
ENSDARG00000022952,0.632,0.0584,0.364,0.319,0.0198,0.0659
ENSDARG00000022968,9.74,0.166,0.174,1.51,0.0185,0.0354
ENSDARG00000022970,1.04,0.123,0.337,0.453,0.0433,0.0623
ENSDARG00000022971,0.0476,0.0262,0.397,0.0382,0.0631,0.0898
ENSDARG00000022974,4.79,0.434,0.635,2.65,0.235,0.113
ENSDARG00000022978,28.1,0.489,0.518,12.2,0.221,0.102
ENSDARG00000022983,6.39,0.265,0.295,1.24,0.0356,0.0551
ENSDARG00000022995,12.3,0.242,0.495,7.31,0.15,0.09
ENSDARG00000022996,0.85,0.112,1.1,0.922,0.098,0.177
ENSDARG00000023002,0.226,0.068,0.521,0.11,0.0107,0.0894
ENSDARG00000023003,13.0,0.412,0.719,5.69,0.193,0.134
ENSDARG00000023026,0.362,0.0808,0.439,0.119,0.0346,0.0768
ENSDARG00000023028,26.7,0.228,0.466,9.78,0.094,0.0839
ENSDARG00000023031,0.428,0.0563,0.836,0.162,0.0327,0.136
ENSDARG00000023036,0.0981,0.0801,0.648,0.0636,0.0233,0.11
ENSDARG00000023040,0.566,0.226,0.498,0.278,0.091,0.0885
ENSDARG00000023053,0.109,0.0958,0.274,0.0557,0.0634,0.0516
ENSDARG00000023058,6.41,0.275,0.598,5.05,0.22,0.105
ENSDARG00000023062,0.312,0.0313,0.379,0.126,0.0221,0.0727
ENSDARG00000023082,0.951,0.0259,1.12,0.581,0.0446,0.215
