GeneID,NRMSE,NRMSE_lower,NRMSE_upper,LogLik,LogLik_lower,LogLik_upper,BIC,BIC_lower,BIC_upper
ENSDARG00000000001,0.3582869568639031,0.2439307048010878,0.5031379620746318,-14.826178,-16.68899917602539,-13.752452850341797,38.323471446250146,36.176020974372086,42.049113625739274
ENSDARG00000000002,0.35893075789251927,0.15121563092622367,0.6879286032130615,-15.616245,-19.11298942565918,-12.928220748901367,39.9036068670494,34.52755677149123,46.89709412500685
ENSDARG00000000018,0.3955899354580395,0.2171794262235041,0.6602809474400233,-17.892868,-21.78965950012207,-14.694489479064941,44.456848476384344,38.060094231818375,52.25043427393263
ENSDARG00000000019,0.2929745890571744,0.16643198295933115,0.4415433939911669,-6.112614,-8.688408851623535,-4.4540839195251465,20.896343566153696,17.579283112738786,26.047932976935563
ENSDARG00000000068,0.40766928239476236,0.23443904599407803,0.6474706369235472,-16.899223,-18.892597198486328,-15.548379898071289,42.46956263229674,39.76787506983107,46.45630967066115
ENSDARG00000000069,0.10224562201365643,0.04939185999021374,0.1623443203999349,6.899059,3.4588723182678223,9.200173377990723,-5.127001340757554,-9.729231482292953,1.7533706371528481
ENSDARG00000000086,0.377805369407028,0.22123618999377606,0.5857433860685975,-10.122404,-13.791566848754883,-7.244030475616455,28.91592416426962,23.159176224921403,36.25424897119826
ENSDARG00000000103,0.405404869193697,0.24295025002927467,0.6215685737551468,-4.812827,-7.343457221984863,-3.1922802925109863,18.296770285819225,15.055675858710465,23.35802971765822
ENSDARG00000000142,0.43527566236765064,0.25424628222676643,0.7284066496900726,-18.23191,-21.836868286132812,-14.914420127868652,45.13493790457076,38.4999555294258,52.34485184595412
ENSDARG00000000151,0.32511313124866364,0.21590340736456665,0.4667972867402368,-21.085676,-23.016983032226562,-19.974567413330078,50.842468551848604,48.62025010034865,54.70508133814162
ENSDARG00000000161,0.24597687795800385,0.12005254245915749,0.3808584797148524,-6.2841406,-11.144967079162598,-2.490849256515503,21.239396549974135,13.652813786719499,30.961049432013688
ENSDARG00000000175,0.6133722060913213,0.25346057362287056,1.3355574390567106,-23.188557,-25.192062377929688,-21.911205291748047,55.048228347991184,52.493525857184586,59.05524002954787
ENSDARG00000000183,0.3158989814470361,0.14673597242795972,0.5408525255809786,-20.499586,-22.954492568969727,-18.938867568969727,49.670287587855526,46.548850411627946,54.580100411627946
ENSDARG00000000189,0.5296002457397293,0.23993731626819784,1.0284967490584438,-22.541904,-24.58809471130371,-21.12546730041504,53.75492164490052,50.92204987451857,57.847304696295915
ENSDARG00000000212,1.10404090565032,0.20573713282544515,3.263505817055166,-34.45622,-36.58769989013672,-33.1241569519043,77.58355845186533,74.91942917749708,81.84651505396192
ENSDARG00000000229,0.38416969712624843,0.2197185051628251,0.6117020017132537,-4.5893407,-7.675622463226318,-2.550532817840576,17.84979719219034,13.772180909369645,24.02236020014113
ENSDARG00000000241,0.3987293523187326,0.1717123578706996,0.7724927286442586,-18.326097,-21.502092361450195,-15.755167007446289,45.32331121012992,40.18144928858107,51.67529999658888
ENSDARG00000000324,0.33902020250176884,0.18317106556872037,0.5220639620195895,-10.732154,-13.320135116577148,-9.028212547302246,30.135425450776275,26.727540368292985,35.31138550684279
ENSDARG00000000349,0.40220084558506997,0.24191980417307718,0.6112210564320124,-5.756421,-8.101571083068848,-4.241865634918213,20.18395756647413,17.15484654352492,24.874257439826188
ENSDARG00000000369,0.38000725705584715,0.18485047581016567,0.66375810602746,-13.039198,-15.891895294189453,-11.116331100463867,34.74951069829291,30.903777474616227,40.4549058620674
ENSDARG00000000370,0.27274065821952365,0.13250611360912865,0.46881495059325423,-7.6595535,-10.759172439575195,-5.616893291473389,23.990222199056795,19.90490185663527,30.189460152838883
ENSDARG00000000380,0.34070749329416083,0.16994300044596092,0.5539334823645576,-17.876339,-21.92315673828125,-13.615534782409668,44.42379491302795,35.90218483850783,52.51742875025099
ENSDARG00000000394,0.33499869473097243,0.22442475850209617,0.46111417707277264,-11.259018,-14.244026184082031,-9.001639366149902,31.18915047356909,26.674394005988297,37.159167641852555
ENSDARG00000000423,0.330249048330126,0.21397822604094888,0.4847262181279563,-21.048336,-23.24517250061035,-19.30393409729004,50.76778620264359,47.27898346826857,55.161460274909196
ENSDARG00000000442,0.31433529695252443,0.2159461067578721,0.4237309762147971,-19.406023,-21.498428344726562,-17.86294937133789,47.48316336748428,44.397014016364274,51.66797196314162
ENSDARG00000000472,0.32698983414154587,0.16027197409352514,0.54663197069762,-11.716561,-14.5718994140625,-9.725866317749023,32.10423926493948,28.12284790918654,37.81491410181349
ENSDARG00000000476,0.3504592473942291,0.23181157465741767,0.47785940427209617,-17.881475,-19.89558982849121,-16.475244522094727,44.43406652996368,41.621604317877946,48.462294930670915
ENSDARG00000000489,0.25843381308660235,0.16500042112883984,0.3637791601442951,1.1255887,-2.247589349746704,3.437812328338623,6.419938159395511,1.7954906170112466,13.1662939731819
ENSDARG00000000503,0.4177187294340522,0.14180527061341905,0.8891366816210495,-27.643253,-31.917457580566406,-24.169227600097656,63.95762250015563,57.009570473883805,72.5060304348213
ENSDARG00000000529,0.2806450256751728,0.1114674552339405,0.5248655720785049,-12.761382,-15.653825759887695,-10.88455867767334,34.1938797220928,30.440232629035172,39.97876679346388
ENSDARG00000000540,0.17447665872620724,0.10533245556755533,0.2459629632499493,1.3909951,-1.6146149635314941,3.34442138671875,5.889125120390709,1.9822725002509927,11.900345200751481
ENSDARG00000000542,0.26094144787337203,0.17459577457551523,0.34260413232281656,-8.776104,-11.342241287231445,-7.1125946044921875,26.223322194431475,22.896304482672868,31.355597848151383
ENSDARG00000000551,0.3923622972365525,0.1756734001590719,0.6964379210177334,-17.702547,-20.247339248657227,-16.060226440429688,44.076210019324485,40.79156815454787,49.165793771002946
ENSDARG00000000563,0.4029863587358806,0.1526737867954441,0.8179054959111018,-20.729809,-24.260961532592773,-17.787111282348633,50.13073319313355,44.24533783838576,57.19303833887404
ENSDARG00000000567,0.512770843298074,0.2650837455699857,0.9562047317986863,-18.563778,-21.1110782623291,-16.895771026611328,45.79867255470581,42.46265732691115,50.893271798346696
ENSDARG00000000568,0.27801013220765936,0.14535078548595604,0.43404835302724515,-14.96441,-17.557954788208008,-13.327388763427734,38.59993540618247,35.32589280054396,43.78702485010451
ENSDARG00000000588,0.30403766058783854,0.1891550413445489,0.4293183299970114,-19.887125,-21.799985885620117,-18.7512264251709,48.445366276953884,46.17356812403029,52.27108704492873
ENSDARG00000000631,0.37718196724260006,0.23274089813256624,0.611199205453129,-20.999828,-24.031917572021484,-17.976383209228516,50.670773795817574,44.623881692145524,56.73495041773146
ENSDARG00000000651,0.34737152736617316,0.19149301937171112,0.5615821394034758,-8.734606,-11.170994758605957,-7.159280300140381,26.14032813522642,22.989675873969254,31.013104790900407
