gene,rhat_max,ess_bulk_min,ess_tail_min,n_divergences,frac_divergences,loo,loo_se,p_loo,max_pareto_k,frac_pareto_k_high,waic,waic_se,rmse,mae,nrmse_range,nrmse_mean,r2,coverage_50,coverage_90,resid_autocorr_lag1
ENSDARG00000000001,3.72,4.0,4.0,2648,0.331,1.047325611114502,5.401684481261631,4.215782642364502,inf,0.805,1.1508992505259812,5.491044198855007,1.333727540348312,0.7975353560140056,0.0912458540766591,0.43874721384520426,0.8124335154280518,0.45161290322580644,0.9516129032258065,0.5024056739459358
ENSDARG00000000002,1.01,910.0,503.0,0,0.0,-26.791749000549316,10.757718571086,4.524276256561279,inf,0.705,-26.72231968306005,10.733259839088259,1.3409797877708236,0.8730962884522253,0.09522490714000251,0.24569409885706545,0.9123256538700674,0.8387096774193549,0.9032258064516129,0.20400506767818186
ENSDARG00000000086,1.0,5475.0,4198.0,8,0.001,-40.327646255493164,7.414109058268342,4.31896448135376,inf,0.69,-40.27707845252007,7.399663242687962,8.682549406972816,6.15166006165166,0.16274665451112608,0.4855980299972147,0.2230031630047261,0.5806451612903226,0.9032258064516129,0.4024787864273459
