,y,model
NRMSE,0.48583812646488495,
NRMSE (95%-hdi[lower]),0.23740847905096815,
NRMSE (95%-hdi[upper]),0.9296923500847399,
Log-Likelihood,-22.904356002807617,-22.904356002807617
Log-Likelihood (95%-hdi[lower]),-28.503150939941406,-28.503150939941406
Log-Likelihood (95%-hdi[upper]),-17.451705932617188,-17.451705932617188
n (data),18,18
k (parameters),,5
BIC,,60.26049743990195
BIC (95%-hdi[lower]),,49.3552706547152
BIC (95%-hdi[upper]),,71.45816066936364
