,y,model
NRMSE,0.0,
NRMSE (95%-hdi[lower]),0.0,
NRMSE (95%-hdi[upper]),0.0,
Log-Likelihood,0.0,0.0
Log-Likelihood (95%-hdi[lower]),0.0,0.0
Log-Likelihood (95%-hdi[upper]),0.0,0.0
n (data),8,8
k (parameters),,3
BIC,,6.238324625039508
BIC (95%-hdi[lower]),,6.238324625039507
BIC (95%-hdi[upper]),,6.238324625039507
