GeneID,NRMSE,NRMSE_lower,NRMSE_upper,LogLik,LogLik_lower,LogLik_upper,BIC,BIC_lower,BIC_upper
ENSDARG00000000001,0.3274014992090177,0.21319375244489897,0.4424501757733101,-13.538658,-17.00881576538086,-10.251720428466797,41.52917483071198,34.95529964641442,48.46949032024254
ENSDARG00000000002,0.33817347413504434,0.12834102740943007,0.6666454690651605,-12.4279,-15.21876335144043,-10.365476608276367,39.30766116956581,35.18281200603356,44.88938549236168
ENSDARG00000000018,0.4727043462692138,0.24096529056651317,0.8875303248324331,-22.436953,-27.89539337158203,-17.174131393432617,59.32576910332552,48.80012157634606,70.24264553264489
ENSDARG00000000019,0.19859952501502506,0.09930672599666429,0.31222394430837747,1.0900618,-3.778400421142578,6.147403240203857,12.27173527461995,2.1570523090731086,22.00865963176598
ENSDARG00000000068,0.33589948143870485,0.19309655700727998,0.506541630693854,-13.4319,-17.805160522460938,-11.290401458740234,41.31565910891404,37.03266170696129,50.0621798344027
ENSDARG00000000069,0.3799262541742338,0.16051316943981467,0.6864897796838146,-122.76642,-462.5102233886719,-7.8836989402771,257.0943376891669,27.328884912138857,936.5819338089284
ENSDARG00000000086,0.3833298980735393,0.20878224875456056,0.6206086206354401,-11.381992,-17.142059326171875,-7.112143516540527,37.215845038808474,28.676145822561878,48.73597744182457
ENSDARG00000000103,0.38360160795701714,0.22450794463256013,0.5963654032657437,-3.7790668,-7.384217262268066,-1.0684853792190552,22.009992795683036,16.588829547918934,29.220293314016956
ENSDARG00000000142,0.41227972355002146,0.22194493540220797,0.6868730557519054,-18.395567,-22.97402572631836,-14.1935396194458,51.242989849842694,42.838938028372425,60.39991024211754
ENSDARG00000000151,0.29026631225828586,0.20099897589262705,0.3747109754295413,-18.375393,-20.885791778564453,-16.564739227294922,51.20264247182718,47.58133724407067,56.22344234660973
ENSDARG00000000161,0.2586001994298668,0.10527988735087675,0.47277456260186723,-7.970248,-12.445279121398926,-4.139843463897705,30.39235435125936,22.731545717276234,39.342417032278675
ENSDARG00000000175,0.6236026630260876,0.24927678472592255,1.353284275049005,-23.26243,-25.665573120117188,-21.557880401611328,60.97671987441888,57.56761959270348,65.7830050297152
ENSDARG00000000183,0.1751145963976963,0.08846746223662531,0.2532549518559364,-7.609824,-10.70114803314209,-5.16749382019043,29.67150719997991,24.786846429861683,35.854154855765
ENSDARG00000000189,0.2593871781759985,0.1471507253120946,0.38413906633181943,-8.106366,-13.2903413772583,-3.294793128967285,30.664591112710127,21.041445047415394,41.032541543997425
ENSDARG00000000212,0.47872041919744607,0.22301332018420114,0.9605496403757603,-24.413996,-28.59661865234375,-20.771385192871094,63.27985086730829,55.99462917522301,71.64509609416832
ENSDARG00000000229,0.40072577997003744,0.21730151367944647,0.6561920351848233,-5.073993,-11.18460464477539,-0.15745258331298828,24.599844719491493,14.7667639561068,36.821068079031605
ENSDARG00000000241,0.25600427505641277,0.10114213735849811,0.468175899597739,-7.2849007,-10.93526554107666,-4.048626899719238,29.021660291052946,22.5491125889193,36.322389871634144
ENSDARG00000000324,0.1593087715472489,0.08462363947825059,0.2492940846043287,2.4663243,-1.1515334844589233,5.8315534591674805,9.519210594720738,2.7887518711458625,16.75492575839867
ENSDARG00000000349,0.3308619772149507,0.1889610958887676,0.4985684300450565,-1.7368577,-5.7237043380737305,1.926247239112854,17.925574127427826,10.599364311255115,25.899267465628284
ENSDARG00000000369,0.18235901439554167,0.08897721793289357,0.2922677528365207,3.053479,-0.9083805084228516,6.0605058670043945,8.344900832630294,2.3308470554720344,16.268619806326527
ENSDARG00000000370,0.2166634801796,0.12413289564209236,0.3370091079457948,-0.37012014,-3.8069045543670654,2.480118989944458,15.192099103547228,9.491620809591907,22.065667898214954
ENSDARG00000000380,0.2783995169099093,0.06905779155710613,0.6532097650463646,-13.463656,-17.656435012817383,-10.44480037689209,41.379171989954614,35.341459543265,49.76472881511559
ENSDARG00000000394,0.416461414619792,0.21071333202615397,0.6944183327243,-15.398813,-22.465463638305664,-7.687858581542969,45.249484854735044,29.82757595256676,59.38278606609215
ENSDARG00000000423,0.3170702533024065,0.191696064560283,0.4397774545609835,-21.00662,-24.842025756835938,-17.682592391967773,56.4651007352244,49.81704357341637,64.1359103031527
ENSDARG00000000442,0.3101971242944314,0.20193429343127262,0.433077804345203,-20.645351,-24.78564453125,-16.74588966369629,55.74256299952379,47.9436381168734,64.02314785198082
ENSDARG00000000472,0.35384991679016414,0.16759729251520547,0.6286442845919487,-12.832797,-16.193790435791016,-9.568299293518066,40.11745210436692,33.588457376516956,46.839439661062855
ENSDARG00000000476,0.34620707591982713,0.21924046545526993,0.48526953821247265,-18.953648,-23.300127029418945,-15.256689071655273,52.35915501741281,44.96523693279137,61.052112848318714
ENSDARG00000000489,0.34632023861005196,0.18213612414203842,0.5489924029961056,-5.2357893,-12.130807876586914,1.1926087141036987,24.923437175087223,12.066641361273426,38.71347454265465
ENSDARG00000000503,0.1111403390075881,0.04749328138893439,0.17967364834296046,7.7260633,2.440852403640747,11.963982582092285,-1.0002680351961672,-9.476106374703747,9.57015398219933
ENSDARG00000000529,0.3042982176004465,0.09086263598712072,0.6147886745162243,-10.922341,-14.670050621032715,-7.684503555297852,36.29654278568138,29.820865900076527,43.79196003154625
ENSDARG00000000540,0.17932739163438952,0.08429023730895202,0.28091492145692487,-0.34165916,-8.190564155578613,4.716684341430664,15.135177118129624,5.018490106619495,30.83298710063805
ENSDARG00000000542,0.28802886365374863,0.15830564254459512,0.45042183071203623,-14.22725,-21.333789825439453,-6.8359880447387695,42.90635854778399,28.123834878958363,57.11943844035973
ENSDARG00000000551,0.2803665126734609,0.14718466012167755,0.47280812818233,-9.3124075,-12.54676342010498,-5.9135260581970215,33.07667287973274,26.278910905874866,39.545385629690784
