GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000071456,0.0289,1.49,0.142,0.481,3.23,0.0147,0.69,0.133,0.0821,3.66
ENSDARG00000071457,0.108,1.6,0.125,0.485,2.32,0.0486,0.786,0.0686,0.0864,1.71
ENSDARG00000071458,0.192,1.58,0.0436,0.142,7.49,0.0594,0.842,0.0181,0.0332,2.0
ENSDARG00000071460,0.149,1.67,0.0833,0.0752,21.8,0.0655,0.0615,0.0385,0.0131,1.32
ENSDARG00000071462,0.224,1.58,0.0486,0.116,48.5,0.134,0.829,0.0347,0.0299,6.83
ENSDARG00000071465,1.36,1.53,0.104,0.261,8.16,0.346,0.825,0.0321,0.0517,0.584
ENSDARG00000071467,2.33,1.5,0.239,0.314,0.681,0.592,0.833,0.0691,0.0658,0.339
ENSDARG00000071468,15.6,1.43,0.208,0.481,1.9,5.75,0.858,0.0819,0.0969,0.841
ENSDARG00000071469,1.15,0.785,0.188,0.519,1.05,0.492,0.412,0.0867,0.104,0.732
ENSDARG00000071475,0.797,1.57,0.0898,0.627,11.2,0.377,0.805,0.0444,0.118,3.91
ENSDARG00000071478,2.29,1.86,0.202,0.422,1.64,0.894,0.253,0.0879,0.081,1.05
ENSDARG00000071487,0.99,0.553,0.121,0.608,2.05,0.416,0.295,0.0513,0.12,1.61
ENSDARG00000071491,0.127,1.54,0.151,0.149,8.64,0.0692,0.0773,0.0621,0.0136,2.16
ENSDARG00000071492,1.25,1.42,0.101,0.317,3.34,0.493,0.207,0.0484,0.0606,1.75
ENSDARG00000071493,0.178,1.75,0.0429,0.209,25.2,0.0268,0.133,0.0283,0.193,10.2
ENSDARG00000071496,0.646,1.58,0.108,0.416,5.17,0.213,0.845,0.0401,0.0819,1.28
ENSDARG00000071497,6.6,1.6,0.209,0.843,2.43,3.26,0.876,0.11,0.18,0.683
ENSDARG00000071498,1.18,1.48,0.172,0.635,5.65,0.325,0.087,0.0791,0.128,1.54
ENSDARG00000071500,8.44,1.52,0.224,0.825,0.606,3.31,0.803,0.0961,0.176,0.364
ENSDARG00000071501,0.232,1.49,0.133,0.525,0.785,0.0988,0.0487,0.0918,0.0659,0.44
ENSDARG00000071506,4.01,1.28,0.468,0.529,0.569,1.74,0.797,0.237,0.0897,0.351
ENSDARG00000071518,1.03,1.63,0.0677,0.225,4.32,0.208,0.859,0.02,0.0471,0.351
ENSDARG00000071524,1.03,1.35,0.167,0.328,1.49,0.382,0.367,0.0713,0.0616,1.02
ENSDARG00000071541,0.0291,0.333,0.123,0.514,3.86,0.015,0.0989,0.134,0.101,4.23
ENSDARG00000071543,0.32,1.43,0.207,0.36,2.56,0.0682,0.0197,0.0597,0.0561,1.54
ENSDARG00000071548,1.52,1.15,0.134,0.637,1.71,0.63,0.462,0.0692,0.109,1.31
ENSDARG00000071549,1.37,1.59,0.15,0.146,18.0,0.373,0.827,0.0467,0.033,0.49
ENSDARG00000071551,5.26,1.11,0.197,0.56,0.805,1.9,0.614,0.0781,0.116,0.495
ENSDARG00000071555,4.75,1.26,0.131,0.487,1.95,1.6,0.241,0.0509,0.0892,1.26
ENSDARG00000071558,3.37,1.51,0.161,0.315,7.18,1.36,0.812,0.0752,0.0612,0.677
ENSDARG00000071560,1.03,1.58,0.114,0.633,4.13,0.425,0.843,0.0514,0.122,1.39
ENSDARG00000071562,0.448,2.04,0.089,0.357,5.36,0.238,0.316,0.0608,0.0695,2.07
ENSDARG00000071565,0.622,1.5,0.0898,0.375,46.4,0.322,0.795,0.0587,0.0722,8.75
ENSDARG00000071566,6.12,0.151,0.136,0.259,3.41,2.55,0.0854,0.0508,0.0787,2.79
ENSDARG00000071567,17.3,1.32,0.485,0.48,5.41,18.7,0.953,0.481,0.203,5.29
ENSDARG00000071570,4.08,0.289,0.155,0.386,1.51,1.68,0.164,0.0618,0.0937,1.19
ENSDARG00000071573,15.3,1.09,0.171,0.682,0.904,5.69,0.624,0.0689,0.136,0.57
