GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000000001,0.406,1.11,0.196,0.521,1.21,0.192,0.572,0.107,0.0971,0.922
ENSDARG00000000002,0.937,1.48,0.0958,0.493,11.6,0.455,0.799,0.0597,0.0871,2.68
ENSDARG00000000018,6.35,1.41,0.195,0.817,0.695,2.74,0.759,0.0927,0.172,0.422
ENSDARG00000000019,5.86,0.395,0.114,0.252,1.94,3.2,0.128,0.0716,0.0559,1.49
ENSDARG00000000068,10.4,0.4,0.644,0.538,1.07,3.87,0.168,0.243,0.0814,0.575
ENSDARG00000000069,33.1,,0.58,0.348,2.19,23.4,,0.712,0.149,1.22
ENSDARG00000000086,5.18,1.24,0.458,0.465,0.542,2.16,0.795,0.252,0.101,0.277
ENSDARG00000000103,6.65,1.18,0.176,0.32,1.09,1.74,0.553,0.053,0.0626,0.543
ENSDARG00000000142,1.59,1.14,0.361,0.656,0.646,0.833,0.797,0.217,0.152,0.544
ENSDARG00000000151,0.441,1.17,0.156,0.66,2.08,0.215,0.557,0.0993,0.111,2.03
ENSDARG00000000161,0.354,1.5,0.0804,0.394,22.0,0.202,0.8,0.0602,0.0797,8.05
ENSDARG00000000175,1.01,1.59,0.0784,0.843,2.49,0.399,0.852,0.0408,0.139,2.19
ENSDARG00000000183,0.815,1.55,0.133,0.386,3.07,0.346,0.282,0.0665,0.0698,1.8
ENSDARG00000000189,0.452,1.6,0.0513,0.4,6.38,0.235,0.497,0.0426,0.0879,2.53
ENSDARG00000000212,99.7,1.59,0.293,0.898,3.37,39.5,0.846,0.132,0.166,0.323
ENSDARG00000000229,3.23,1.58,0.33,0.344,0.489,1.01,0.828,0.116,0.0798,0.222
ENSDARG00000000241,2.12,1.3,0.0596,0.381,7.22,0.729,0.736,0.0287,0.0731,1.25
ENSDARG00000000324,1.15,1.23,0.0993,0.235,1.56,0.391,0.277,0.0431,0.0471,1.01
ENSDARG00000000349,0.143,1.69,0.115,0.29,4.22,0.0552,0.876,0.048,0.0586,1.84
ENSDARG00000000369,1.08,1.46,0.116,0.228,8.83,0.296,0.807,0.0377,0.0468,0.798
ENSDARG00000000370,0.763,1.57,0.146,0.27,6.39,0.362,0.827,0.0796,0.0529,0.99
ENSDARG00000000380,1.03,1.42,0.105,0.523,46.1,0.51,0.786,0.0807,0.101,11.3
ENSDARG00000000394,13.0,0.392,0.173,0.58,1.24,5.48,0.291,0.0743,0.144,0.817
ENSDARG00000000423,0.855,1.17,0.168,0.759,1.12,0.39,0.62,0.088,0.138,0.824
ENSDARG00000000442,2.21,0.717,0.156,0.744,1.24,0.968,0.376,0.0757,0.14,0.891
ENSDARG00000000472,0.401,1.55,0.0705,0.503,1.66,0.166,0.818,0.0469,0.0945,1.78
ENSDARG00000000476,0.641,0.753,0.158,0.684,1.29,0.294,0.401,0.0795,0.129,0.947
ENSDARG00000000489,5.47,0.457,0.2,0.346,1.21,1.97,0.265,0.0717,0.0812,0.761
ENSDARG00000000503,1.95,1.57,0.0148,0.182,14.8,0.319,0.832,0.00644,0.0451,0.378
ENSDARG00000000529,0.97,1.06,0.148,0.457,1.78,0.337,0.231,0.0558,0.0871,1.19
ENSDARG00000000540,1.62,0.143,0.135,0.274,2.91,0.679,0.0737,0.0538,0.0752,2.36
ENSDARG00000000542,1.49,0.315,0.133,0.547,1.64,0.656,0.206,0.0575,0.136,1.34
ENSDARG00000000551,1.69,1.22,0.0935,0.422,6.09,0.59,0.672,0.0396,0.0797,1.25
ENSDARG00000000563,1.58,1.57,0.047,0.296,10.1,0.704,0.835,0.027,0.0621,2.38
ENSDARG00000000567,2.55,1.48,0.146,0.728,1.12,0.911,0.818,0.0605,0.138,0.619
ENSDARG00000000568,2.69,1.53,0.209,0.236,1.37,0.847,0.202,0.0717,0.0502,0.866
ENSDARG00000000588,0.926,1.14,0.162,0.721,1.21,0.389,0.593,0.077,0.131,0.865
ENSDARG00000000631,1.87,1.53,0.164,0.778,0.926,0.79,0.796,0.0861,0.137,0.641
ENSDARG00000000651,0.849,1.41,0.252,0.353,1.51,0.455,0.0934,0.124,0.104,0.676
ENSDARG00000000656,0.0401,1.31,0.0961,0.324,2.14,0.0186,0.718,0.0566,0.0632,1.77
ENSDARG00000000666,1.22,1.6,0.0782,0.509,2.36,0.569,0.836,0.0492,0.0941,1.38
ENSDARG00000000690,1.73,1.56,0.133,0.518,2.35,0.608,0.852,0.0548,0.0955,1.07
ENSDARG00000000729,2.39,0.318,0.123,0.436,2.48,0.921,0.0979,0.0475,0.0874,1.96
ENSDARG00000000730,0.912,1.73,0.165,0.358,2.1,0.385,0.325,0.0816,0.0654,1.26
ENSDARG00000000747,0.285,0.739,0.135,0.54,1.82,0.124,0.418,0.061,0.107,1.4
ENSDARG00000000760,1.49,1.12,0.21,0.367,1.31,0.53,0.421,0.0797,0.0723,0.884
ENSDARG00000000767,0.583,1.52,0.205,0.284,6.78,0.102,0.0594,0.0499,0.0442,0.503
ENSDARG00000000779,8.64,1.11,0.263,0.355,0.726,3.17,0.537,0.105,0.0768,0.385
ENSDARG00000000796,1.24,1.32,0.0682,0.556,13.5,0.684,0.351,0.0549,0.113,4.59
ENSDARG00000000804,1.87,1.67,0.144,0.287,7.17,0.561,0.715,0.0498,0.058,0.643
ENSDARG00000000830,1.45,1.3,0.17,0.71,0.857,0.605,0.711,0.0776,0.145,0.577
ENSDARG00000000837,0.761,0.849,0.153,0.652,3.84,0.409,0.397,0.11,0.117,3.95
ENSDARG00000000853,5.54,0.699,0.168,0.298,2.02,1.95,0.116,0.0637,0.0584,1.31
ENSDARG00000000857,5.23,0.417,0.159,0.616,1.31,2.29,0.291,0.069,0.145,0.943
ENSDARG00000000861,10.7,0.502,0.159,0.388,1.71,3.69,0.203,0.0576,0.0784,1.18
ENSDARG00000000887,1.04,0.299,0.096,0.661,3.23,0.47,0.0806,0.0467,0.121,2.86
ENSDARG00000000906,0.717,1.07,0.195,0.423,1.32,0.321,0.492,0.1,0.0769,0.932
ENSDARG00000000935,0.542,1.06,0.155,0.484,1.28,0.222,0.456,0.0748,0.0887,0.955
ENSDARG00000000943,2.21,1.57,0.162,0.702,2.03,0.96,0.843,0.0757,0.138,0.829
ENSDARG00000000966,1.76,1.33,0.0936,0.49,2.88,0.73,0.526,0.049,0.0877,1.91
ENSDARG00000001014,3.68,1.15,0.0974,0.359,1.11,0.992,0.6,0.0343,0.0673,0.661
ENSDARG00000001015,1.93,1.58,0.205,0.406,0.495,0.692,0.811,0.091,0.0824,0.336
ENSDARG00000001057,21.7,1.57,0.207,0.571,0.815,6.13,0.822,0.0673,0.111,0.353
ENSDARG00000001127,0.384,1.47,0.0354,0.263,20.8,0.171,0.819,0.0259,0.0613,2.47
ENSDARG00000001129,2.03,1.43,0.16,0.487,0.975,0.699,0.657,0.0657,0.0899,0.627
ENSDARG00000001154,0.194,1.59,0.0535,0.2,37.7,0.12,0.855,0.0408,0.0463,7.83
ENSDARG00000001162,6.7,1.29,0.184,0.952,0.825,2.94,0.731,0.0869,0.188,0.511
ENSDARG00000001169,0.472,0.673,0.0975,0.502,9.01,0.272,0.302,0.0868,0.11,6.16
ENSDARG00000001210,7.24,1.27,0.112,0.885,1.86,2.97,0.641,0.0531,0.15,1.33
ENSDARG00000001220,0.844,0.943,0.106,0.27,1.3,0.256,0.402,0.0412,0.0526,0.727
ENSDARG00000001234,0.462,1.61,0.139,0.529,9.3,0.291,0.0443,0.116,0.0668,1.14
ENSDARG00000001241,22.1,0.697,0.168,0.695,1.05,8.94,0.452,0.0704,0.146,0.668
ENSDARG00000001244,27.8,0.398,0.213,0.502,1.21,10.8,0.311,0.0846,0.129,0.754
ENSDARG00000001249,1.96,1.71,0.186,0.418,1.41,0.678,0.448,0.068,0.0865,0.908
ENSDARG00000001259,0.389,1.5,0.199,0.438,0.876,0.158,0.799,0.0953,0.0851,0.617
ENSDARG00000001303,0.0375,1.47,0.196,0.401,3.44,0.0133,0.0801,0.115,0.0531,1.96
ENSDARG00000001313,1.71,0.684,0.1,0.95,1.43,0.768,0.44,0.0487,0.183,1.05
ENSDARG00000001354,0.191,1.59,0.0486,0.298,5.17,0.122,0.834,0.0501,0.0731,2.31
ENSDARG00000001414,0.755,1.58,0.162,0.846,1.52,0.313,0.83,0.0786,0.147,0.85
ENSDARG00000001431,16.5,1.16,0.0796,0.701,13.8,6.77,0.702,0.0486,0.127,2.05
ENSDARG00000001437,1.18,1.62,0.136,0.502,10.4,0.752,0.0884,0.127,0.0388,1.69
ENSDARG00000001442,0.151,1.2,0.0696,0.282,10.2,0.0839,0.171,0.0517,0.0611,5.5
ENSDARG00000001447,1.27,1.26,0.16,0.438,1.17,0.427,0.553,0.0603,0.0853,0.822
ENSDARG00000001452,0.567,1.99,0.128,0.611,1.69,0.215,0.675,0.0533,0.117,1.11
ENSDARG00000001463,1.85,1.94,0.0451,0.369,25.1,0.888,0.277,0.0231,0.051,1.99
ENSDARG00000001470,2.16,1.12,0.128,0.494,1.51,0.749,0.455,0.0554,0.0889,1.08
ENSDARG00000001498,0.165,1.52,0.141,0.32,3.97,0.051,0.0305,0.0287,0.0394,1.25
ENSDARG00000001549,1.14,0.879,0.126,1.07,1.34,0.542,0.517,0.0686,0.186,0.983
ENSDARG00000001557,3.48,0.647,0.177,0.472,1.25,1.29,0.403,0.0678,0.0992,0.833
ENSDARG00000001558,2.47,0.058,0.126,0.242,4.1,1.14,0.0272,0.0575,0.0776,4.38
ENSDARG00000001559,0.209,1.38,0.0791,0.17,42.7,0.103,0.667,0.0443,0.0363,4.89
ENSDARG00000001578,21.8,1.52,0.36,0.525,0.555,7.44,0.803,0.139,0.106,0.278
ENSDARG00000001621,0.778,0.693,0.11,0.488,2.46,0.325,0.184,0.0567,0.0878,2.02
ENSDARG00000001634,3.07,1.39,0.244,0.321,7.41,1.32,0.745,0.111,0.0764,0.698
ENSDARG00000001676,2.81,1.28,0.0743,0.558,1.23,1.12,0.694,0.0468,0.102,0.742
ENSDARG00000001686,0.141,1.5,0.0921,0.316,8.64,0.0916,0.785,0.0851,0.0695,6.21
ENSDARG00000001710,1.76,1.07,0.0407,0.231,3.33,0.425,0.273,0.0154,0.0497,1.28
ENSDARG00000001712,0.21,1.59,0.135,0.237,11.3,0.101,0.84,0.0685,0.05,3.45
ENSDARG00000001721,0.065,1.59,0.0713,1.46,2.92,0.0393,0.839,0.08,0.24,2.91
ENSDARG00000001729,7.24,0.253,0.204,0.214,1.66,2.73,0.246,0.0692,0.0796,0.926
ENSDARG00000001733,1.68,1.21,0.11,0.437,4.98,0.791,0.276,0.0623,0.0829,2.02
ENSDARG00000001734,1.85,0.72,0.151,0.327,1.66,0.956,0.266,0.0889,0.0622,1.33
ENSDARG00000001754,7.76,1.39,0.175,0.935,0.811,3.23,0.768,0.0785,0.19,0.504
ENSDARG00000001760,0.888,1.55,0.132,0.475,25.6,0.498,0.0641,0.0114,0.378,22.2
ENSDARG00000001767,1.22,3.67,0.11,0.842,1.86,0.466,1.46,0.055,0.157,1.2
ENSDARG00000001769,1.23,0.44,0.179,0.283,1.24,0.559,0.132,0.0866,0.059,0.947
ENSDARG00000001771,0.0318,1.61,0.0431,0.117,28.5,0.00932,0.146,0.0144,0.0435,16.3
ENSDARG00000001776,0.248,1.44,0.176,0.337,1.03,0.0974,0.704,0.0813,0.0667,0.751
ENSDARG00000001777,2.5,0.157,0.13,0.293,3.91,1.24,0.137,0.0519,0.115,3.47
ENSDARG00000001781,0.493,1.58,0.0991,0.49,1.52,0.176,0.843,0.05,0.0857,1.22
ENSDARG00000001782,0.451,1.56,0.103,0.618,3.11,0.313,0.035,0.052,0.064,1.5
ENSDARG00000001785,0.962,1.38,0.0717,0.283,14.6,0.276,0.768,0.0272,0.0569,1.26
ENSDARG00000001788,47.0,2.38,0.0963,0.849,4.12,20.4,0.986,0.0597,0.146,1.44
ENSDARG00000001803,0.238,1.87,0.139,0.405,5.42,0.104,0.886,0.0702,0.0763,2.09
ENSDARG00000001804,0.845,1.36,0.154,0.405,2.4,0.351,0.384,0.0762,0.0725,1.49
ENSDARG00000001807,0.41,1.57,0.0726,0.426,2.15,0.201,0.845,0.0562,0.0854,1.07
ENSDARG00000001817,0.318,0.863,0.159,0.695,1.76,0.15,0.423,0.0901,0.123,1.53
ENSDARG00000001818,0.204,1.58,0.0864,0.368,7.77,0.145,0.822,0.0892,0.0871,5.21
ENSDARG00000001825,0.0702,1.59,0.113,0.226,2.66,0.0256,0.832,0.0452,0.0459,1.76
ENSDARG00000001829,26.3,1.08,0.451,0.476,0.819,11.5,0.711,0.215,0.0977,0.35
ENSDARG00000001835,0.304,1.07,0.0488,0.292,13.8,0.156,0.682,0.0387,0.0662,3.15
ENSDARG00000001857,2.4,0.649,0.18,0.488,1.35,1.16,0.307,0.0952,0.0918,1.04
ENSDARG00000001859,0.79,1.58,0.0716,0.843,2.79,0.287,0.842,0.0321,0.145,1.49
ENSDARG00000001870,15.2,1.5,0.166,0.826,15.1,8.22,0.794,0.122,0.142,1.59
ENSDARG00000001873,10.7,1.58,0.185,0.822,0.539,4.08,0.836,0.0813,0.171,0.292
ENSDARG00000001879,1.76,1.51,0.205,0.59,1.06,0.608,0.819,0.0794,0.114,0.525
ENSDARG00000001880,1.33,1.47,0.111,0.46,2.69,0.634,0.535,0.0674,0.0834,1.65
ENSDARG00000001881,0.0803,1.64,0.0673,0.0975,55.1,0.0401,0.842,0.0398,0.0233,8.78
ENSDARG00000001882,0.439,1.57,0.0238,0.0901,22.2,0.0503,0.83,0.00515,0.0227,0.491
ENSDARG00000001888,2.28,1.32,0.18,1.01,0.88,1.07,0.73,0.0915,0.192,0.574
ENSDARG00000001889,64.2,1.57,0.0925,0.442,4.24,14.0,0.842,0.0274,0.0835,0.143
ENSDARG00000001890,9.66,0.844,0.191,0.483,0.952,3.67,0.389,0.0799,0.0963,0.626
ENSDARG00000001891,0.201,1.45,0.0712,0.248,31.3,0.114,0.769,0.0481,0.0506,6.66
ENSDARG00000001897,3.33,0.77,0.2,0.394,0.975,1.37,0.334,0.09,0.0775,0.66
ENSDARG00000001898,1.07,2.54,0.14,0.362,2.63,0.4,0.556,0.0613,0.0679,1.26
ENSDARG00000001909,0.239,1.78,0.0703,0.264,14.9,0.0441,0.143,0.0318,0.215,6.59
ENSDARG00000001910,1.07,1.58,0.0735,0.516,7.44,0.779,0.828,0.0816,0.117,2.35
ENSDARG00000001912,0.149,1.14,0.141,0.398,11.7,0.0788,0.55,0.116,0.0757,9.89
ENSDARG00000001913,1.02,1.55,0.159,0.176,8.24,0.144,0.0379,0.0268,0.0148,0.402
ENSDARG00000001929,0.625,1.07,0.379,0.515,1.34,0.459,0.693,0.299,0.0867,1.17
ENSDARG00000001930,1.48,1.23,0.198,0.33,1.17,0.573,0.453,0.0854,0.0643,0.825
ENSDARG00000001933,0.307,1.57,0.139,0.194,14.6,0.147,0.0673,0.0699,0.0643,7.23
ENSDARG00000001937,0.731,1.61,0.263,0.155,14.1,0.364,0.0616,0.147,0.0543,3.3
ENSDARG00000001939,2.05,1.34,0.19,0.805,0.789,0.919,0.741,0.0898,0.168,0.504
ENSDARG00000001940,4.64,0.35,0.135,0.58,1.99,2.02,0.154,0.0619,0.118,1.67
ENSDARG00000001950,78.3,1.37,0.0644,0.715,15.3,31.7,0.774,0.0426,0.132,0.781
ENSDARG00000001953,1.67,1.59,0.178,0.586,1.3,0.758,0.843,0.109,0.102,0.628
ENSDARG00000001968,0.226,1.25,0.213,0.661,1.54,0.115,0.694,0.127,0.116,2.08
ENSDARG00000001969,1.97,1.01,0.183,0.426,1.55,0.716,0.327,0.069,0.0836,1.06
ENSDARG00000001971,0.802,1.51,0.12,0.555,30.1,0.3,0.0584,0.0413,0.42,27.7
ENSDARG00000001975,1.45,1.59,0.0679,0.411,24.4,0.716,0.842,0.044,0.0795,3.1
ENSDARG00000001976,0.871,1.61,0.0747,0.441,1.73,0.279,0.836,0.0325,0.0821,0.961
ENSDARG00000001993,5.87,1.53,0.117,0.481,53.1,2.66,0.811,0.0639,0.0834,5.05
ENSDARG00000001994,4.59,1.54,0.0262,0.302,13.8,1.43,0.833,0.0163,0.0668,1.11
ENSDARG00000001999,0.719,1.51,0.179,0.753,2.5,0.193,0.0408,0.024,0.0597,0.858
ENSDARG00000002002,0.975,1.5,0.265,0.751,0.863,0.46,0.79,0.144,0.135,0.56
ENSDARG00000002006,2.3,1.64,0.29,0.285,0.642,0.807,0.828,0.113,0.0617,0.36
ENSDARG00000002013,1.07,1.49,0.209,0.367,1.0,0.352,0.687,0.0778,0.0713,0.648
ENSDARG00000002016,4.0,0.971,0.137,0.996,1.15,1.78,0.558,0.0685,0.18,0.795
ENSDARG00000002020,0.82,1.52,0.205,0.466,0.908,0.327,0.752,0.0953,0.0882,0.613
ENSDARG00000002021,1.31,1.53,0.286,0.524,0.757,0.576,0.811,0.147,0.0976,0.455
ENSDARG00000002026,0.408,1.79,0.0397,0.205,10.9,0.0469,0.114,0.00948,0.0394,1.43
ENSDARG00000002031,3.48,0.536,0.145,0.704,1.23,1.53,0.352,0.0653,0.15,0.854
ENSDARG00000002037,0.697,1.26,0.406,0.764,2.5,0.428,0.864,0.328,0.124,4.46
ENSDARG00000002060,0.472,1.31,0.114,0.685,1.81,0.203,0.442,0.0529,0.126,1.32
ENSDARG00000002071,1.86,0.697,0.0922,0.323,15.7,0.656,0.524,0.041,0.0735,1.0
ENSDARG00000002077,1.63,0.506,0.167,0.382,1.51,0.628,0.186,0.0658,0.0773,1.17
ENSDARG00000002082,36.2,0.337,0.215,0.4,1.05,13.8,0.256,0.0824,0.11,0.668
ENSDARG00000002084,2.53,1.58,0.116,0.321,13.6,0.935,0.831,0.0475,0.0658,2.18
ENSDARG00000002097,0.105,1.44,0.16,0.173,2.75,0.0314,0.0278,0.0501,0.0191,1.26
ENSDARG00000002127,4.6,1.96,0.188,0.255,1.59,1.32,0.315,0.0607,0.052,0.901
ENSDARG00000002128,1.75,0.165,0.124,0.324,3.59,0.747,0.0724,0.0483,0.0833,2.9
ENSDARG00000002131,3.07,1.04,0.0858,0.585,9.74,1.21,0.539,0.045,0.104,1.86
ENSDARG00000002165,1.19,0.783,0.429,0.732,1.74,0.556,0.347,0.303,0.109,1.65
ENSDARG00000002167,0.641,0.793,0.0527,0.273,3.12,0.209,0.249,0.0246,0.0579,2.01
ENSDARG00000002168,7.99,0.13,0.14,0.225,2.69,3.31,0.0538,0.0535,0.0631,2.09
ENSDARG00000002172,3.24,1.57,0.139,1.24,1.49,1.43,0.828,0.0744,0.212,0.745
ENSDARG00000002174,1.24,1.51,0.171,0.512,0.772,0.476,0.767,0.0803,0.095,0.462
ENSDARG00000002184,4.55,1.28,0.167,0.943,0.878,2.01,0.705,0.0828,0.181,0.575
ENSDARG00000002190,6.83,0.456,0.14,0.254,2.52,2.56,0.0873,0.0581,0.0509,1.62
ENSDARG00000002192,0.611,1.83,0.0406,0.315,26.2,0.104,0.0955,0.00444,0.0379,1.6
ENSDARG00000002193,131.0,1.4,0.0958,0.338,48.1,63.2,0.783,0.054,0.065,0.0809
ENSDARG00000002194,0.145,1.55,0.1,0.28,7.8,0.0206,0.0235,0.03,0.0541,1.28
ENSDARG00000002196,1.21,1.61,0.256,0.219,3.75,0.4,0.866,0.0914,0.0516,0.54
ENSDARG00000002197,9.03,1.04,0.935,1.03,1.29,3.43,0.585,0.394,0.153,0.68
ENSDARG00000002204,1.94,1.7,0.0733,0.308,14.7,0.772,0.158,0.0329,0.063,0.547
ENSDARG00000002210,2.12,1.34,0.471,0.472,0.589,1.06,0.846,0.275,0.0792,0.323
ENSDARG00000002213,0.419,1.35,0.182,0.311,1.44,0.138,0.546,0.0651,0.063,0.913
ENSDARG00000002215,5.57,0.877,0.102,1.06,1.29,2.44,0.568,0.0485,0.202,0.872
ENSDARG00000002216,4.48,1.39,0.406,0.325,4.78,1.06,0.0595,0.103,0.056,0.42
ENSDARG00000002217,4.49,1.59,0.133,0.37,1.71,1.11,0.848,0.0418,0.0683,0.435
ENSDARG00000002219,0.388,1.54,0.0686,0.28,51.6,0.16,0.084,0.0359,0.165,25.8
ENSDARG00000002220,8.27,1.33,0.193,0.896,0.794,3.54,0.756,0.0887,0.181,0.485
ENSDARG00000002230,15.5,0.979,1.08,1.03,5.61,6.03,0.629,0.536,0.17,1.11
ENSDARG00000002231,0.343,1.15,0.632,0.92,1.82,0.131,0.634,0.421,0.124,2.18
ENSDARG00000002235,1.11,1.35,0.0475,0.395,3.57,0.451,0.729,0.0288,0.0805,1.15
ENSDARG00000002240,19.4,1.57,0.152,0.657,2.5,7.05,0.86,0.0628,0.131,0.573
ENSDARG00000002241,0.15,1.34,0.353,0.422,1.53,0.051,0.0287,0.0663,0.0284,0.551
ENSDARG00000002249,0.454,1.12,0.103,0.514,10.2,0.293,0.637,0.105,0.114,7.26
ENSDARG00000002255,1.34,1.53,0.138,0.591,0.961,0.654,0.815,0.0982,0.105,0.567
ENSDARG00000002259,0.106,1.59,0.0559,0.165,40.2,0.0593,0.833,0.0431,0.0379,8.34
ENSDARG00000002264,7.22,1.66,0.175,0.331,0.904,1.55,0.868,0.0464,0.0635,0.293
ENSDARG00000002267,5.49,0.521,0.133,0.888,1.42,2.51,0.344,0.0637,0.178,0.997
ENSDARG00000002271,12.3,0.518,0.167,0.744,1.5,5.88,0.26,0.0882,0.138,1.16
ENSDARG00000002285,3.02,0.914,0.35,0.614,0.72,1.71,0.622,0.219,0.104,0.511
ENSDARG00000002295,0.0525,1.53,0.0481,0.0879,41.3,0.0143,0.0808,0.0185,0.0212,1.9
ENSDARG00000002298,0.494,1.07,0.16,0.84,2.45,0.241,0.481,0.104,0.141,2.39
ENSDARG00000002299,0.251,1.49,0.0695,0.137,3.77,0.0402,0.0115,0.0134,0.03,0.301
ENSDARG00000002300,0.377,1.54,0.146,0.301,37.4,0.154,0.0619,0.0504,0.2,19.8
ENSDARG00000002304,2.04,2.38,0.0954,0.919,1.87,0.769,0.722,0.0444,0.162,1.24
ENSDARG00000002305,2.97,1.66,0.0706,0.335,6.23,0.877,0.154,0.0285,0.0684,1.12
ENSDARG00000002311,6.4,1.77,0.104,0.567,26.4,2.7,0.901,0.0561,0.099,1.97
ENSDARG00000002330,0.39,1.01,0.106,0.551,17.8,0.181,0.263,0.0664,0.107,5.9
ENSDARG00000002332,2.87,1.43,0.232,0.735,0.682,1.25,0.77,0.108,0.158,0.398
ENSDARG00000002333,0.856,1.58,0.139,0.678,1.58,0.386,0.802,0.0865,0.114,1.4
ENSDARG00000002336,3.18,1.58,0.122,0.991,2.35,1.46,0.842,0.0638,0.18,0.942
ENSDARG00000002339,2.18,1.22,0.196,0.764,0.87,0.967,0.701,0.0933,0.153,0.563
ENSDARG00000002344,133.0,1.53,0.141,0.427,2.23,41.8,0.612,0.0524,0.0775,1.09
ENSDARG00000002347,0.0263,0.216,0.764,0.421,3.45,0.00819,0.0192,0.372,0.0642,2.82
ENSDARG00000002353,0.17,1.58,0.155,1.2,1.88,0.092,0.826,0.12,0.191,2.2
ENSDARG00000002355,0.289,1.31,0.233,0.495,1.03,0.135,0.72,0.117,0.0987,0.823
ENSDARG00000002362,4.68,1.5,0.175,0.681,2.09,2.04,0.876,0.0909,0.117,1.21
ENSDARG00000002365,3.21,1.57,0.154,0.534,1.71,1.17,0.489,0.0643,0.0996,1.1
ENSDARG00000002369,36.1,0.533,0.196,0.61,1.09,15.4,0.345,0.0858,0.135,0.687
ENSDARG00000002377,1.63,0.573,0.149,0.266,1.93,0.657,0.114,0.0653,0.0516,1.41
ENSDARG00000002385,0.334,1.67,0.118,0.502,1.62,0.122,0.786,0.0541,0.0898,1.26
ENSDARG00000002391,0.638,1.58,0.0769,0.231,44.6,0.316,0.815,0.0445,0.047,3.28
ENSDARG00000002394,0.735,1.53,0.16,0.386,41.6,0.447,0.05,0.0396,0.212,20.7
ENSDARG00000002396,1.88,0.895,0.159,0.777,1.43,0.796,0.445,0.0772,0.137,1.04
ENSDARG00000002401,4.67,1.26,0.153,0.973,0.878,2.11,0.693,0.078,0.184,0.557
ENSDARG00000002402,5.39,1.39,0.306,0.511,0.581,1.98,0.749,0.12,0.123,0.323
ENSDARG00000002403,9.39,0.754,0.118,0.872,1.27,3.99,0.511,0.0537,0.168,0.857
ENSDARG00000002405,0.413,1.55,0.0967,0.394,4.06,0.204,0.809,0.055,0.0709,2.76
ENSDARG00000002406,0.111,1.45,0.252,0.676,1.53,0.0355,0.0758,0.189,0.0931,0.733
ENSDARG00000002411,0.186,1.6,0.105,0.228,4.27,0.0875,0.859,0.0596,0.0442,1.63
ENSDARG00000002445,1.44,1.58,0.118,0.932,2.12,0.604,0.844,0.0565,0.164,1.0
ENSDARG00000002463,0.349,0.345,0.131,0.497,2.2,0.156,0.143,0.0621,0.102,1.89
ENSDARG00000002467,2.4,0.968,0.201,0.606,1.08,0.987,0.473,0.0911,0.114,0.747
ENSDARG00000002479,1.36,0.994,0.107,1.18,1.24,0.664,0.597,0.0578,0.214,0.882
ENSDARG00000002483,0.206,1.39,0.178,0.377,4.61,0.0637,0.227,0.0583,0.0659,1.35
ENSDARG00000002487,5.03,1.59,0.15,0.847,0.938,1.73,0.856,0.0601,0.157,0.467
ENSDARG00000002494,0.506,1.48,0.111,0.695,3.69,0.225,0.747,0.0704,0.116,3.19
ENSDARG00000002506,5.69,0.442,0.14,0.455,2.23,2.26,0.188,0.0597,0.09,1.51
ENSDARG00000002507,0.305,1.59,0.0988,0.389,2.62,0.153,0.866,0.0686,0.0739,1.35
ENSDARG00000002508,0.0748,1.49,0.12,0.297,15.8,0.0487,0.0349,0.0282,0.0435,19.6
ENSDARG00000002509,0.458,0.856,0.406,1.0,1.46,0.375,0.554,0.458,0.155,1.7
ENSDARG00000002510,0.517,1.45,0.22,0.311,5.03,0.194,0.0439,0.0838,0.0719,2.1
ENSDARG00000002523,13.6,1.18,0.192,0.359,2.03,4.89,0.543,0.076,0.0678,1.12
ENSDARG00000002533,0.173,1.51,0.14,0.314,1.71,0.0818,0.0398,0.0785,0.0489,0.644
ENSDARG00000002536,3.93,0.223,0.153,0.364,1.75,1.67,0.0781,0.0657,0.0814,1.51
ENSDARG00000002538,4.53,0.194,0.119,0.414,2.97,1.96,0.0944,0.0487,0.101,2.43
ENSDARG00000002546,1.24,0.655,0.0794,0.6,13.8,0.593,0.192,0.0535,0.119,3.07
ENSDARG00000002549,1.22,0.611,0.135,0.463,1.74,0.491,0.187,0.0629,0.0851,1.43
ENSDARG00000002552,4.49,0.242,0.149,0.408,1.69,1.95,0.146,0.0602,0.106,1.46
ENSDARG00000002564,1.51,0.621,0.0506,0.25,15.8,0.496,0.222,0.0245,0.0602,0.899
ENSDARG00000002571,2.62,1.33,0.31,0.479,0.644,1.1,0.716,0.139,0.105,0.39
ENSDARG00000002576,0.32,1.43,0.231,0.507,9.67,0.155,0.0886,0.121,0.0644,13.4
ENSDARG00000002582,0.554,1.33,0.055,0.289,6.38,0.185,0.746,0.0237,0.0567,1.77
ENSDARG00000002587,3.54,1.56,0.0513,0.433,8.01,1.16,0.849,0.0262,0.0833,0.828
ENSDARG00000002589,178.0,0.502,0.0637,0.575,18.9,71.4,0.327,0.0395,0.141,0.181
ENSDARG00000002591,7.09,0.462,0.121,0.609,2.21,2.97,0.269,0.0504,0.124,1.71
ENSDARG00000002593,3.02,1.65,0.161,0.346,13.7,1.38,0.0393,0.0667,0.223,5.42
ENSDARG00000002597,0.0239,0.751,0.348,0.394,3.47,0.00985,0.0762,0.354,0.0622,4.93
