ensembl_gene_id,BIC_M,BIC_Z,decay_mode,dBIC,significant
ENSDARG00000000001,84.25364980636577,65.78155443921763,Z,18.472095367148142,True
ENSDARG00000000002,76.36483114487811,81.17972245521486,M,4.814891310336748,False
ENSDARG00000000018,54.07161394810307,52.08681208409273,Z,1.9848018640103433,False
ENSDARG00000000019,10.977910989676031,-2.2384813770709457,Z,13.216392366746977,True
ENSDARG00000000068,133.3769597067114,128.68989258828643,Z,4.687067118424977,False
ENSDARG00000000069,42.858385762270025,91.8449266164652,M,48.98654085419518,True
ENSDARG00000000086,108.0346368774437,106.08585667180952,Z,1.9487802056341792,False
ENSDARG00000000103,79.14310422017213,69.70631367784343,Z,9.436790542328708,True
ENSDARG00000000142,89.85185251935836,85.94590036216167,Z,3.905952157196694,False
ENSDARG00000000151,153.8887012242968,138.64264987111935,Z,15.24605135317745,True
ENSDARG00000000161,28.16555997531288,25.61117131365394,Z,2.5543886616589404,False
ENSDARG00000000175,111.94975144635424,110.93408712488583,Z,1.0156643214684067,False
ENSDARG00000000183,140.2528384876427,85.74834328046528,Z,54.50449520717741,True
ENSDARG00000000189,119.75069320089636,93.09388377652714,Z,26.65680942436923,True
ENSDARG00000000212,136.92928696928382,134.66116501445342,Z,2.2681219548304057,False
ENSDARG00000000229,115.22962270501256,73.81141255906228,Z,41.41821014595028,True
ENSDARG00000000241,55.07890616436266,54.02809956785816,Z,1.0508065965044935,False
ENSDARG00000000349,-25.194379996746736,-5.604141923755362,M,19.590238072991376,True
ENSDARG00000000369,45.41503217551998,44.52825326894633,Z,0.8867789065736531,False
ENSDARG00000000370,76.71663214251133,75.46126284606395,Z,1.255369296447384,False
ENSDARG00000000380,91.63410314346712,95.97639414686618,M,4.342291003399069,False
ENSDARG00000000394,-1.5938243753906396,0.0385264763235944,M,1.632350851714234,False
ENSDARG00000000423,104.73510239475516,95.2810905862113,Z,9.454011808543854,True
ENSDARG00000000442,71.75249186892214,55.34397284833648,Z,16.408519020585658,True
ENSDARG00000000460,-196.53216720530395,,Z,,False
ENSDARG00000000472,135.16111728829517,130.40691447018213,Z,4.754202818113043,False
ENSDARG00000000474,-29.732880349367807,-30.414049135655112,Z,0.681168786287305,False
ENSDARG00000000476,59.52385646444419,41.24905114238735,Z,18.274805322056835,True
ENSDARG00000000489,45.20360494145156,45.26360071177224,M,0.059995770320682595,False
ENSDARG00000000503,149.52227027862952,149.6692678352212,M,0.14699755659168545,False
ENSDARG00000000516,-58.42747277018428,-128.37726451441645,Z,69.94979174423217,True
ENSDARG00000000529,70.25484726747398,3.4669569623126573,Z,66.78789030516133,True
ENSDARG00000000540,-10.133533343533388,-24.744890226226765,Z,14.611356882693377,True
ENSDARG00000000542,64.1557234287668,57.08167007113474,Z,7.074053357632067,True
ENSDARG00000000551,107.68820361200416,111.83867875101768,M,4.150475139013523,False
ENSDARG00000000563,94.67695634143078,94.56253996264492,Z,0.11441637878586164,False
ENSDARG00000000567,97.057699512654,94.14570158438768,Z,2.9119979282663166,False
ENSDARG00000000568,102.10468693811758,-3.2839784179295,Z,105.38866535604708,True
ENSDARG00000000588,108.0450223843579,96.62378439758616,Z,11.421237986771743,True
ENSDARG00000000606,-149.33848029848934,-151.23659895274042,Z,1.8981186542510784,False
ENSDARG00000000631,174.52172861531378,137.8931338496506,Z,36.628594765663166,True
ENSDARG00000000638,-218.1625295653045,,Z,,False
ENSDARG00000000651,-7.981396817046045,-7.94918365609198,M,0.03221316095406479,False
ENSDARG00000000656,27.80819082418088,10.832735002070706,Z,16.975455822110174,True
ENSDARG00000000666,76.11410264683046,74.28684027327114,Z,1.8272623735593214,False
ENSDARG00000000690,14.40202079940208,52.78817926396403,M,38.38615846456195,True
ENSDARG00000000729,53.30310657643262,44.20208258238248,Z,9.101023994050138,True
ENSDARG00000000730,69.76501502241055,72.3338799924835,M,2.5688649700729513,False
ENSDARG00000000747,60.112297110351264,30.328244906751,Z,29.784052203600265,True
ENSDARG00000000760,63.931850541936896,32.5239553463518,Z,31.4078951955851,True
ENSDARG00000000767,17.926693859101622,17.90367939348795,Z,0.023014465613673707,False
ENSDARG00000000779,27.28571958374047,10.58718482835916,Z,16.69853475538131,True
ENSDARG00000000796,150.8065225956441,127.07044777069378,Z,23.736074824950336,True
ENSDARG00000000804,25.43173487498115,57.283132293282,M,31.851397418300852,True
ENSDARG00000000830,31.197447304645845,37.391708138009854,M,6.194260833364009,True
ENSDARG00000000837,157.55032714262202,126.86239524596508,Z,30.68793189665695,True
ENSDARG00000000853,51.59776158295279,63.80075811041538,M,12.202996527462588,True
ENSDARG00000000857,-26.88751307816848,-31.45058441712669,Z,4.56307133895821,False
ENSDARG00000000861,-14.30387186078218,-22.93240587949128,Z,8.6285340187091,True
ENSDARG00000000887,88.1068092522746,79.4134036235861,Z,8.693405628688495,True
ENSDARG00000000906,86.1111287506446,65.17305941167115,Z,20.93806933897345,True
ENSDARG00000000935,109.50131694978732,95.08005987676744,Z,14.421257073019888,True
ENSDARG00000000943,43.38029608456127,41.57206062126587,Z,1.8082354632954036,False
ENSDARG00000000966,173.39840082982184,106.9070840678513,Z,66.49131676197054,True
ENSDARG00000001014,145.6592215278372,137.85455344118603,Z,7.804668086651162,True
ENSDARG00000001015,93.16771873291977,90.83092140772553,Z,2.33679732519424,False
ENSDARG00000001057,64.98523826599244,65.34501390678803,M,0.3597756407955899,False
ENSDARG00000001127,90.43250014797424,90.78721037290842,M,0.3547102249341805,False
