ensembl_gene_id,BIC_M,BIC_Z,decay_mode,dBIC,significant
ENSDARG00000000002,76.36483114487811,81.17972245521486,M,4.814891310336748,False
ENSDARG00000000018,54.07161394810307,52.08681208409273,Z,1.9848018640103433,False
ENSDARG00000000019,10.879749769986802,-2.293660966850703,Z,13.173410736837505,True
ENSDARG00000000069,42.47856131102362,91.67448888646376,M,49.195927575440145,True
ENSDARG00000000161,28.16555997531288,25.61117131365394,Z,2.5543886616589404,False
ENSDARG00000000183,140.2528384876427,85.74834328046528,Z,54.50449520717741,True
ENSDARG00000000189,119.75069320089636,93.09388377652714,Z,26.65680942436923,True
ENSDARG00000000212,136.92928696928382,134.66116501445342,Z,2.2681219548304057,False
ENSDARG00000000241,55.07890616436266,54.02809956785816,Z,1.0508065965044935,False
ENSDARG00000000370,76.71663214251133,75.46126284606395,Z,1.255369296447384,False
ENSDARG00000000380,91.63410314346712,95.97639414686618,M,4.342291003399069,False
ENSDARG00000000394,-1.5938243753906396,0.0385264763235944,M,1.632350851714234,False
ENSDARG00000000423,104.73510239475516,95.2810905862113,Z,9.454011808543854,True
ENSDARG00000000442,71.75249186892214,55.34397284833648,Z,16.408519020585658,True
ENSDARG00000000472,135.16111728829517,130.40691447018213,Z,4.754202818113043,False
ENSDARG00000000476,59.52385646444419,41.24905114238735,Z,18.274805322056835,True
ENSDARG00000000489,45.20360494145156,45.26360071177224,M,0.059995770320682595,False
ENSDARG00000000529,70.25484726747398,3.4669569623126573,Z,66.78789030516133,True
ENSDARG00000000540,-10.133533343533388,-24.744890226226765,Z,14.611356882693377,True
ENSDARG00000000542,64.1557234287668,57.08167007113474,Z,7.074053357632067,True
ENSDARG00000000551,107.68820361200416,111.83867875101768,M,4.150475139013523,False
ENSDARG00000000563,94.67695634143078,94.56253996264492,Z,0.11441637878586164,False
ENSDARG00000000568,101.08409656679628,-3.266905050772576,Z,104.35100161756885,True
ENSDARG00000000588,108.0450223843579,96.62378439758616,Z,11.421237986771743,True
ENSDARG00000000651,-7.981396817046045,-7.94918365609198,M,0.03221316095406479,False
ENSDARG00000000666,76.11410264683046,74.28684027327114,Z,1.8272623735593214,False
ENSDARG00000000690,14.40202079940208,52.78817926396403,M,38.38615846456195,True
ENSDARG00000000729,52.58109569739587,43.98098858099525,Z,8.600107116400615,True
ENSDARG00000000730,61.69487947150193,72.23061808998197,M,10.535738618480046,True
ENSDARG00000000747,60.112297110351264,30.328244906751,Z,29.784052203600265,True
ENSDARG00000000760,63.931850541936896,32.5239553463518,Z,31.4078951955851,True
ENSDARG00000000767,17.926693859101622,17.90367939348795,Z,0.023014465613673707,False
ENSDARG00000000796,150.8065225956441,127.07044777069378,Z,23.736074824950336,True
ENSDARG00000000804,25.43173487498115,57.283132293282,M,31.851397418300852,True
ENSDARG00000000830,31.197447304645845,37.391708138009854,M,6.194260833364009,True
ENSDARG00000000853,51.90067207507789,63.74444487775376,M,11.843772802675865,True
ENSDARG00000000857,-26.88751307816848,-31.45058441712669,Z,4.56307133895821,False
ENSDARG00000000861,-14.30387186078218,-22.93240587949128,Z,8.6285340187091,True
ENSDARG00000000887,88.1068092522746,79.4134036235861,Z,8.693405628688495,True
ENSDARG00000000943,43.38029608456127,41.57206062126587,Z,1.8082354632954036,False
ENSDARG00000001015,93.16771873291977,90.83092140772553,Z,2.33679732519424,False
ENSDARG00000001057,64.98523826599244,65.34501390678803,M,0.3597756407955899,False
ENSDARG00000001127,90.43250014797424,90.78721037290842,M,0.3547102249341805,False
ENSDARG00000001154,17.8668767714271,17.031834340219188,Z,0.8350424312079134,False
ENSDARG00000001162,45.997049029017305,45.57384778467478,Z,0.42320124434252193,False
