,y,model
NRMSE,0.3928224470603655,
NRMSE (95%-hdi[lower]),0.21425215555151156,
NRMSE (95%-hdi[upper]),0.656283753227183,
Log-Likelihood,-17.876699447631836,-17.876699447631836
Log-Likelihood (95%-hdi[lower]),-21.892929077148438,-21.892929077148438
Log-Likelihood (95%-hdi[upper]),-14.709479331970215,-14.709479331970215
n (data),18,18
k (parameters),,3
BIC,,44.424500964612825
BIC (95%-hdi[lower]),,38.09007393762892
BIC (95%-hdi[upper]),,52.45697342798537
