GeneID,RMSLE,Spearman,NRMSE_range,MASE
ENSDARG00000111962,0.437441885471344,0.7352834382519546,0.27130485,0.7238025
ENSDARG00000062423,0.5732772350311279,0.05056759545923632,0.25806323,0.95310205
ENSDARG00000077782,0.5578886866569519,-0.18059855521155832,0.4166781,0.9277986
ENSDARG00000015970,0.2960931062698364,0.6264189886480908,0.21016075,0.64507073
ENSDARG00000006200,0.505616307258606,-0.04643962848297213,0.31066278,0.9025895
ENSDARG00000099371,0.7629209756851196,0.8740970072239421,0.22746223,0.48970336
ENSDARG00000045003,0.6137572526931763,0.9298245614035088,0.20519914,0.4394382
ENSDARG00000102449,0.17459098994731903,0.3869969040247678,0.16707917,0.6584361
ENSDARG00000093353,0.3506641983985901,0.9571503598711003,0.18539216,0.31609592
ENSDARG00000062056,0.7949402332305908,0.9344348173498875,0.25189513,0.5437286
ENSDARG00000042977,0.2936835289001465,0.8121775025799793,0.20197928,0.60113955
ENSDARG00000053082,0.4711505174636841,0.7192982456140351,0.22715734,0.49165058
ENSDARG00000100446,0.8008298277854919,0.7564499484004128,0.30379167,0.70246255
ENSDARG00000031981,0.3881969451904297,-0.052631578947368425,0.28953364,0.93489695
ENSDARG00000070126,1.0345849990844727,0.09705731804518168,0.32535246,0.89890426
ENSDARG00000043210,0.1707143783569336,0.6615067079463364,0.12781511,0.44302407
ENSDARG00000076404,0.30293911695480347,0.8472652218782251,0.22482201,0.6188662
ENSDARG00000004260,0.40543946623802185,0.003095975232198142,0.3173489,0.9245916
ENSDARG00000057719,0.4499872326850891,0.4746649242273876,0.14401647,0.28981996
ENSDARG00000005915,0.5444124341011047,-0.5190918472652218,0.2960103,1.0420113
ENSDARG00000067920,0.6251695156097412,-0.1475748194014448,0.28410894,0.8636602
ENSDARG00000006079,0.2692823112010956,0.9168818981289503,0.17981015,0.43870956
ENSDARG00000077167,0.3946634531021118,0.8169631625596238,0.217197,0.5735779
ENSDARG00000057632,0.4994622468948364,0.4943240454076367,0.22272304,0.64709795
ENSDARG00000058835,0.6375782489776611,0.11455108359133126,0.3171519,0.8718853
ENSDARG00000101675,0.24500718712806702,0.6649445452684319,0.15232146,0.34061453
ENSDARG00000068409,1.375138282775879,0.07946336429308565,0.23997815,0.66463
ENSDARG00000117026,0.14914542436599731,0.8077334605209311,0.17187916,0.5465776
ENSDARG00000088195,0.7212684154510498,0.6119711042311662,0.31650653,0.7418291
ENSDARG00000110616,0.4662098288536072,0.5262691612751897,0.25182074,0.78056306
ENSDARG00000100227,0.391532838344574,0.6986584107327141,0.26838595,0.82473105
ENSDARG00000091727,0.19498488306999207,0.8637770897832818,0.15752968,0.5786484
ENSDARG00000115602,0.4357890188694,0.6651922616054725,0.2520725,0.93136024
ENSDARG00000112375,0.9814577698707581,0.700216887590135,0.35565308,0.8648174
ENSDARG00000013828,0.755212128162384,0.6160990712074303,0.30896753,0.6498244
ENSDARG00000042552,0.6290943622589111,0.9318885448916409,0.19470023,0.4239738
ENSDARG00000027938,0.3823493421077728,0.9484004127966976,0.19543302,0.41092682
ENSDARG00000101118,0.39054495096206665,0.45717234262125905,0.13466908,0.54183555
ENSDARG00000004177,0.6945940852165222,0.6388028895768835,0.25274116,0.46220455
ENSDARG00000114591,0.3007613718509674,0.8547832820359574,0.24197437,0.64268976
ENSDARG00000093931,0.6391374468803406,0.45191409997248017,0.14873564,0.32018587
ENSDARG00000071454,0.500893771648407,0.22658965739659617,0.2592942,0.8563745
ENSDARG00000078598,0.4600488543510437,0.8390092879256965,0.22100475,0.5559895
ENSDARG00000112454,0.740351140499115,0.564499484004128,0.33918077,0.76407665
ENSDARG00000115039,0.6744023561477661,-0.2507739938080495,0.31209064,0.7482044
ENSDARG00000002644,0.636730968952179,0.806401759503052,0.22677627,0.6077371
ENSDARG00000019924,0.5735030174255371,0.017543859649122806,0.2731556,0.91271156
ENSDARG00000115058,0.5706514716148376,0.6759545923632612,0.18488249,0.412411
ENSDARG00000037963,0.3778042197227478,0.8611255664859735,0.1550285,0.45945776
ENSDARG00000113036,0.4161362051963806,0.4373423148542474,0.29337743,0.84010196
ENSDARG00000099527,0.6365484595298767,0.6408668730650156,0.32828382,0.7293004
ENSDARG00000044153,0.41630643606185913,-0.2053663570691434,0.32937342,1.0346074
ENSDARG00000063511,0.36932051181793213,0.4633642930856553,0.23937088,0.88744336
ENSDARG00000005883,0.22315192222595215,0.9587203302373581,0.103642546,0.20899442
ENSDARG00000057238,0.6880663633346558,0.9318885448916409,0.2662428,0.63169795
